article_id,article_version,icd10_noncovered_group,paragraph,last_updated
52369,17,1,"<p>For CPT codes 29999, 29877, G0289 that are performed for nationally non-covered indications please report the ICD-10-CM codes below for osteoarthritis or knee pain and append the &#8211;GA or &#8211;GZ modifier as applicable</p>",2025-12-22 15:54:37.533000
52370,135,1,,2026-07-31 17:44:07.420000
52379,10,1,"<p><strong>There are no diagnoses for which this service is covered. The following diagnoses are identified herein to emphasize that we have specifically considered them and have determined that this service is not covered for them.</strong></p>
<p>When billing CPT code 87641 for screening purposes (statutorily non-covered), ICD-10-CM codes, including but not limited to those listed below, may be reported. The &ndash;GY modifier should be reported, as applicable.<br />Group 1: Codes</p>",2023-11-17 21:59:58.677000
52399,75,1,,2026-07-07 14:19:53.090000
52420,64,1,,2025-12-22 14:16:58.847000
52421,23,1,,2023-09-22 19:00:52.670000
52423,84,1,,2024-09-19 20:53:55.297000
52430,12,1,,2025-11-26 22:23:51.167000
52432,14,1,,2023-11-07 17:38:39.927000
52434,51,1,,2024-09-20 16:59:09.480000
52435,14,1,"<p>Any diagnosis not listed in the ""ICD-10 Codes That Support Medical Necessity"" section.</p>",2025-11-26 22:25:16.863000
52437,17,1,,2025-11-26 22:26:52.120000
52438,22,1,,2025-09-18 20:45:45.443000
52447,30,1,,2021-09-24 13:06:32.713000
52448,24,1,,2025-09-17 14:20:33.123000
52450,83,1,,2026-06-12 01:18:49.300000
52451,89,1,,2026-07-24 15:36:33.933000
52453,49,1,,2025-09-17 14:17:07.550000
52457,65,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the preceding section. For all other HCPCS codes, diagnoses are not specified.</p>",2026-04-03 00:25:33.113000
52458,40,1,<p>All ICD-10 codes that are not specified in the previous section.</p>,2026-04-15 12:41:36.793000
52459,23,1,,2022-04-07 21:36:30.220000
52460,16,1,,2022-04-07 21:37:19.487000
52461,21,1,,2022-04-07 21:38:51.480000
52462,32,1,,2025-09-11 13:46:37.773000
52463,32,1,,2025-09-11 13:48:26.507000
52464,65,1,<p>All ICD-10 codes that are specified in the previous section.</p>,2026-04-15 12:46:45.533000
52465,72,1,"<p><span style=""line-height: 115%;"">For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.</span></p>",2026-04-01 18:31:26.287000
52466,87,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.<br /><br />For HCPCS codes A7009, E0575, J7604, J7607, J7609, J7610, J7615, J7622, J7624, J7627, J7628, J7629, J7632, J7634, J7635, J7636, J7637, J7638, J7640, J7641, J7642, J7643, J7645, J7647, J7650, J7657, J7660, J7667, J7670, J7676, J7680, J7681, J7683, J7684, and J7685, all ICD-10 codes.<br /><br />For all other HCPCS codes, ICD-10 codes are not specified.</p>",2026-06-10 15:25:06.760000
52467,54,1,<p>All ICD-10 codes that are not specified in the preceding section.</p>,2024-05-08 15:56:44.047000
52468,22,1,<p>All ICD-10 codes that are not specified in the preceding section.</p>,2022-04-07 21:44:53.100000
52469,28,1,,2024-10-09 18:19:01.017000
52470,19,1,,2026-07-27 18:03:29.260000
52474,40,1,<p>All diagnoses that are not specified in the section ICD-10 Codes that are Covered. <br /></p>,2025-09-12 13:35:43.410000
52476,27,1,,2022-04-07 14:02:30.017000
52477,16,1,,2022-04-07 14:09:34.507000
52478,26,1,"<p><span style=""line-height: 107%;"">All ICD-10 codes and diagnoses that are not specified in the preceding section. </span></p>",2025-10-03 15:02:26.363000
52479,73,1,<p>All codes not listed in the previous section.</p>,2025-12-31 13:50:40.550000
52480,90,1,<p>All codes not listed in the previous section.</p>,2025-12-31 14:02:27.010000
52481,30,1,"<p>For the specific HCPCS code indicated above, all ICD-10 codes that are not specified in the previous section. <br /> <br /> For all other HCPCS codes, ICD-10 codes are not specified.</p>",2025-03-27 12:56:19.380000
52487,33,1,"<p>For all HCPCS codes except A4331, A4364, A4402, A4450, A4452, A4455, A4456, A5102, A5120. All ICD-10 codes that are not specified in the previous section.</p>",2025-04-03 16:17:00.693000
52489,24,1,,2022-04-07 14:19:18.927000
52490,27,1,<p>All ICD-10 codes that are not specified in the previous section.</p>,2022-04-07 14:19:58.917000
52492,22,1,<p>All codes that are not specified in the previous section. <br /></p>,2026-05-05 16:08:57.367000
52494,63,1,<p>All ICD-10 codes that are not specified in the previous section.</p>,2025-09-11 14:03:16.003000
52495,18,1,,2022-04-07 16:51:16.723000
52496,64,1,,2026-06-11 15:17:17.270000
52497,35,1,,2024-06-05 19:22:53.547000
52498,64,1,,2026-04-03 00:26:19.670000
52499,23,1,,2022-05-18 17:35:40.440000
52500,46,1,,2026-04-03 00:26:44.600000
52501,47,1,,2024-11-26 12:52:37.430000
52502,20,1,,2022-04-07 16:49:20.337000
52503,26,1,,2025-10-23 17:00:08.400000
52504,61,1,,2026-04-03 00:27:07.030000
52505,80,1,,2026-05-21 16:54:43.107000
52507,156,1,"<p><span style=""line-height: 107%;"">For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.</span></p>
<p><span style=""line-height: 107%;"">For all other HCPCS codes, ICD-10 codes are not specified.</span></p>",2026-01-27 18:51:06.223000
52508,39,1,,2022-04-07 12:33:09.480000
52509,73,1,<p>All codes not listed in the previous section.</p>,2026-06-19 14:05:58.763000
52510,61,1,"<p><span style=""line-height: 107%;"">All ICD-10 codes that are not specified in the previous section.</span></p>",2025-09-12 13:51:39.173000
52511,28,1,,2022-04-07 12:40:02.110000
52512,46,1,<p>All ICD-10 codes that are not specified in the preceding section.</p>,2024-05-09 18:55:43.130000
52513,50,1,,2026-07-02 18:30:37.287000
52514,61,1,<p>For all claims submitted with the N3 modifier.</p>,2024-05-09 18:59:28.427000
52516,26,1,,2023-09-20 13:41:37.447000
52517,50,1,,2025-10-03 14:40:04.790000
52518,36,1,,2023-05-11 16:30:31.927000
52519,39,1,"<p><span style=""line-height: 107%;"">For A4605 and A4624 &ndash; All codes not listed above<br /> <br /> For A7002, A7047 and E0600 - G47.33<br /> <br /> For the remaining codes in this LCD - Not specified<br /> <br /> </span></p>",2024-05-09 18:57:25.660000
52520,31,1,"<p><span style=""line-height: 107%;""><br /><br /></span></p>",2022-11-11 14:43:17.453000
52521,55,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the preceding section.<strong><span style=""line-height: 107%;""><br /> <br /> </span></strong></p>",2026-04-02 16:24:24.030000
52527,90,1,,2026-04-24 12:57:21.350000
52535,14,1,,2026-07-27 18:01:49.987000
52537,11,1,,2023-12-29 17:39:23.183000
52571,143,1,,2026-07-10 13:46:46.877000
52711,22,1,,2022-04-07 21:46:31.153000
52712,25,1,Not Applicable,2022-04-07 21:47:16.270000
52713,18,1,,2022-04-07 14:00:02.520000
52800,98,1,,2026-07-10 12:17:53.910000
52825,12,1,,2024-01-16 14:52:38.157000
52830,9,1,,2019-11-08 18:57:38.753000
52837,21,1,,2024-12-19 15:52:55.200000
52840,3,1,,2014-04-01 20:26:59
52841,4,1,,2016-09-22 21:24:08.913000
52842,18,1,,2023-11-17 21:52:18.337000
52845,8,1,,2023-10-06 15:24:41.653000
52849,36,1,,2023-12-21 15:24:40.860000
52850,56,1,,2025-12-22 18:44:57.067000
52855,31,1,,2024-01-04 13:46:54.103000
52863,59,1,,2025-12-22 15:48:34.380000
52866,35,1,,2024-12-19 16:04:28.460000
52868,46,1,,2024-12-19 12:58:08.187000
