article_id,article_version,icd10_pcs_code_id,icd10_pcs_code_version,icd10_pcs_code_group,range,sort_order,description,last_updated
57765,26,0SP90JZ,10,1,N,57251,"Removal of Synthetic Substitute from Right Hip Joint, Open Approach",2026-06-18 14:22:18
57765,26,0SPB0JZ,10,1,N,57285,"Removal of Synthetic Substitute from Left Hip Joint, Open Approach",2026-06-18 14:22:18
57765,26,0SR9019,10,1,N,57806,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR901A,10,1,N,57807,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR901Z,10,1,N,57808,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SR9029,10,1,N,57809,"Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR902A,10,1,N,57810,"Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR902Z,10,1,N,57811,"Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SR9039,10,1,N,57812,"Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR903A,10,1,N,57813,"Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR903Z,10,1,N,57814,"Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SR9049,10,1,N,57815,"Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR904A,10,1,N,57816,"Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR904Z,10,1,N,57817,"Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SR9069,10,1,N,57818,"Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR906A,10,1,N,57819,"Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR906Z,10,1,N,57820,"Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SR907Z,10,1,N,57821,"Replacement of Right Hip Joint with Autologous Tissue Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SR90EZ,10,1,N,57822,"Replacement of Right Hip Joint with Articulating Spacer, Open Approach",2026-06-18 14:22:18
57765,26,0SR90J9,10,1,N,57823,"Replacement of Right Hip Joint with Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR90JA,10,1,N,57824,"Replacement of Right Hip Joint with Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SR90JZ,10,1,N,57825,"Replacement of Right Hip Joint with Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SR90KZ,10,1,N,57826,"Replacement of Right Hip Joint with Nonautologous Tissue Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB019,10,1,N,57841,"Replacement of Left Hip Joint with Metal Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB01A,10,1,N,57842,"Replacement of Left Hip Joint with Metal Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB01Z,10,1,N,57843,"Replacement of Left Hip Joint with Metal Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB029,10,1,N,57844,"Replacement of Left Hip Joint with Metal on Polyethylene Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB02A,10,1,N,57845,"Replacement of Left Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB02Z,10,1,N,57846,"Replacement of Left Hip Joint with Metal on Polyethylene Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB039,10,1,N,57847,"Replacement of Left Hip Joint with Ceramic Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB03A,10,1,N,57848,"Replacement of Left Hip Joint with Ceramic Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB03Z,10,1,N,57849,"Replacement of Left Hip Joint with Ceramic Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB049,10,1,N,57850,"Replacement of Left Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB04A,10,1,N,57851,"Replacement of Left Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB04Z,10,1,N,57852,"Replacement of Left Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB069,10,1,N,57853,"Replacement of Left Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB06A,10,1,N,57854,"Replacement of Left Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB06Z,10,1,N,57855,"Replacement of Left Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB07Z,10,1,N,57856,"Replacement of Left Hip Joint with Autologous Tissue Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB0EZ,10,1,N,57857,"Replacement of Left Hip Joint with Articulating Spacer, Open Approach",2026-06-18 14:22:18
57765,26,0SRB0J9,10,1,N,57858,"Replacement of Left Hip Joint with Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB0JA,10,1,N,57859,"Replacement of Left Hip Joint with Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:18
57765,26,0SRB0JZ,10,1,N,57860,"Replacement of Left Hip Joint with Synthetic Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SRB0KZ,10,1,N,57861,"Replacement of Left Hip Joint with Nonautologous Tissue Substitute, Open Approach",2026-06-18 14:22:18
57765,26,0SW90JZ,10,1,N,58678,"Revision of Synthetic Substitute in Right Hip Joint, Open Approach",2026-06-18 14:22:18
57765,26,0SWB0JZ,10,1,N,58716,"Revision of Synthetic Substitute in Left Hip Joint, Open Approach",2026-06-18 14:22:18
57765,26,0SPC0JZ,10,2,N,57316,"Removal of Synthetic Substitute from Right Knee Joint, Open Approach",2026-06-18 14:22:19
57765,26,0SPD0JZ,10,2,N,57358,"Removal of Synthetic Substitute from Left Knee Joint, Open Approach",2026-06-18 14:22:19
57765,26,0SRC069,10,2,N,57862,"Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:19
57765,26,0SRC06A,10,2,N,57863,"Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:19
57765,26,0SRC06Z,10,2,N,57864,"Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach",2026-06-18 14:22:19
57765,26,0SRC07Z,10,2,N,57867,"Replacement of Right Knee Joint with Autologous Tissue Substitute, Open Approach",2026-06-18 14:22:19
57765,26,0SRC0EZ,10,2,N,57868,"Replacement of Right Knee Joint with Articulating Spacer, Open Approach",2026-06-18 14:22:19
57765,26,0SRC0J9,10,2,N,57869,"Replacement of Right Knee Joint with Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:19
57765,26,0SRC0JA,10,2,N,57870,"Replacement of Right Knee Joint with Synthetic Substitute, Uncemented, Open Approach",2026-06-18 14:22:19
57765,26,0SRC0JZ,10,2,N,57871,"Replacement of Right Knee Joint with Synthetic Substitute, Open Approach",2026-06-18 14:22:19
57765,26,0SRC0M9,10,2,N,57878,"Replacement of Right Knee Joint with Lateral Unicondylar Synthetic Substitute, Cemented, Open Approach",2026-06-18 14:22:19
