article_id,article_version,icd10_pcs_code_group,paragraph,last_updated
52369,17,1,,2025-12-22 15:54:37.577000
52370,135,1,,2026-07-31 17:44:07.443000
52379,10,1,,2023-11-17 21:59:58.697000
52399,75,1,,2026-07-07 14:19:53.103000
52420,64,1,,2025-12-22 14:16:58.850000
52421,23,1,,2023-09-22 19:00:52.670000
52423,84,1,,2024-09-19 20:53:55.300000
52430,12,1,,2025-11-26 22:23:51.173000
52432,14,1,,2023-11-07 17:38:39.930000
52434,51,1,,2024-09-20 16:59:11.213000
52435,14,1,,2025-11-26 22:25:16.870000
52437,17,1,,2025-11-26 22:26:52.123000
52438,22,1,,2025-09-18 20:45:45.450000
52447,30,1,,2021-09-24 13:06:32.717000
52448,24,1,,2025-09-17 14:20:33.127000
52450,83,1,,2026-06-12 01:18:49.310000
52451,89,1,,2026-07-24 15:36:33.937000
52453,49,1,,2025-09-17 14:17:07.557000
52457,65,1,,2026-04-03 00:25:33.120000
52458,40,1,,2026-04-15 12:41:36.800000
52459,23,1,,2022-04-07 21:36:30.263000
52460,16,1,,2022-04-07 21:37:19.490000
52461,21,1,,2022-04-07 21:38:51.543000
52462,32,1,,2025-09-11 13:46:37.780000
52463,32,1,,2025-09-11 13:48:26.523000
52464,65,1,,2026-04-15 12:46:45.540000
52465,72,1,,2026-04-01 18:31:26.293000
52466,87,1,,2026-06-10 15:25:06.770000
52467,54,1,,2024-05-08 15:56:44.053000
52468,22,1,,2022-04-07 21:44:53.100000
52469,28,1,,2024-10-09 18:19:01.037000
52470,19,1,,2026-07-27 18:03:29.263000
52474,40,1,,2025-09-12 13:35:43.420000
52476,27,1,,2022-04-07 14:02:30.073000
52477,16,1,,2022-04-07 14:09:34.527000
52478,26,1,,2025-10-03 15:02:26.373000
52479,73,1,,2025-12-31 13:50:40.557000
52480,90,1,,2025-12-31 14:02:27.020000
52481,30,1,,2025-03-27 12:56:19.390000
52487,33,1,,2025-04-03 16:17:00.700000
52489,24,1,,2022-04-07 14:19:18.930000
52490,27,1,,2022-04-07 14:19:58.920000
52492,22,1,,2026-05-05 16:08:57.407000
52494,63,1,,2025-09-11 14:03:16.020000
52495,18,1,,2022-04-07 16:51:16.767000
52496,64,1,,2026-06-11 15:17:17.280000
52497,35,1,,2024-06-05 19:22:53.557000
52498,64,1,,2026-04-03 00:26:19.673000
52499,23,1,,2022-05-18 17:35:40.460000
52500,46,1,,2026-04-03 00:26:44.603000
52501,47,1,,2024-11-26 12:52:37.440000
52502,20,1,,2022-04-07 16:49:20.460000
52503,26,1,,2025-10-23 17:00:08.407000
52504,61,1,,2026-04-03 00:27:07.037000
52505,80,1,,2026-05-21 16:54:43.133000
52507,156,1,,2026-01-27 18:51:06.230000
52508,39,1,,2022-04-07 12:33:09.500000
52509,73,1,,2026-06-19 14:05:58.767000
52510,61,1,,2025-09-12 13:51:39.180000
52511,28,1,,2022-04-07 12:40:02.113000
52512,46,1,,2024-05-09 18:55:43.140000
52513,50,1,,2026-07-02 18:30:37.290000
52514,61,1,,2024-05-09 18:59:28.450000
52516,26,1,,2023-09-20 13:41:37.450000
52517,50,1,,2025-10-03 14:40:04.797000
52518,36,1,,2023-05-11 16:30:31.930000
52519,39,1,,2024-05-09 18:57:25.680000
52520,31,1,,2022-11-11 14:43:17.457000
52521,55,1,,2026-04-02 16:24:24.040000
52527,90,1,,2026-04-24 12:57:21.360000
52535,14,1,,2026-07-27 18:01:49.990000
52537,11,1,,2023-12-29 17:39:23.187000
52571,143,1,,2026-07-10 13:46:46.883000
52711,22,1,,2022-04-07 21:46:31.157000
52712,25,1,,2022-04-07 21:47:16.273000
52713,18,1,,2022-04-07 14:00:02.553000
52800,98,1,,2026-07-10 12:17:53.920000
52825,12,1,,2024-01-16 14:52:38.163000
52837,21,1,,2024-12-19 15:52:55.473000
52842,18,1,,2023-11-17 21:52:18.347000
52845,8,1,,2023-10-06 15:24:41.657000
52849,36,1,,2023-12-21 15:24:40.867000
52850,56,1,,2025-12-22 18:44:57.070000
52855,31,1,,2024-01-04 13:46:54.110000
52863,59,1,,2025-12-22 15:48:34.390000
52866,35,1,,2024-12-19 16:04:28.477000
52868,46,1,,2024-12-19 12:58:08.193000
52870,38,1,,2024-12-19 13:27:21.787000
52917,4,1,,2023-11-22 16:25:23.600000
52918,5,1,,2023-11-22 18:30:28.613000
52986,242,1,,2025-04-25 17:28:18.157000
52992,30,1,,2025-04-11 13:01:11.590000
52993,54,1,<p>N/A</p>,2024-10-18 13:42:55.790000
52996,31,1,,2025-09-26 13:52:29.950000
52998,50,1,,2026-01-23 14:04:07.343000
53001,45,1,,2026-01-23 14:04:57.357000
53008,56,1,,2025-09-23 18:03:56.840000
53018,14,1,,2023-11-20 14:38:49.333000
53019,15,1,,2025-07-15 16:38:48.053000
53021,141,1,,2026-07-10 18:50:56.667000
53024,22,1,,2024-03-13 14:59:57.890000
53026,65,1,,2025-12-22 16:12:03.700000
53032,145,1,,2026-07-08 13:31:30.767000
53033,141,1,,2026-07-08 13:35:48.717000
53043,16,1,,2026-06-19 12:08:46.060000
53047,17,1,,2021-12-29 16:33:30.130000
53052,48,1,,2025-08-19 18:16:46.940000
53053,14,1,,2022-05-12 13:18:15.260000
53056,15,1,,2024-11-27 17:20:58.910000
53057,67,1,,2026-02-04 14:15:19.777000
53058,65,1,,2026-02-04 14:13:53.680000
53060,48,1,,2025-08-14 12:47:20.913000
53064,87,1,,2026-02-04 14:07:36.727000
53065,76,1,,2026-02-04 14:10:39.813000
53066,99,1,,2026-07-09 15:36:16.560000
53084,28,1,,2023-11-14 16:35:25.503000
53095,28,1,,2024-09-05 14:24:29.030000
53101,46,1,,2024-08-29 13:10:24.493000
53104,32,1,,2022-01-18 13:18:14.220000
53127,193,1,,2026-07-10 13:46:05.587000
53134,84,1,,2023-11-22 12:43:03.747000
53296,23,1,,2025-10-06 12:11:07.350000
53304,16,1,,2023-11-14 16:25:55.627000
53322,16,1,,2023-11-16 19:22:42.953000
53352,13,1,,2023-11-14 16:30:14.253000
53356,14,1,,2023-11-16 19:28:44.473000
53359,40,1,,2026-06-17 15:00:09.137000
53387,35,1,,2026-06-26 12:42:12.330000
53435,11,1,,2023-01-11 18:34:32.500000
53444,14,1,,2023-01-10 20:56:52.953000
53484,18,1,,2026-05-04 13:10:02.703000
53495,11,1,,2024-11-12 14:59:57.413000
53497,15,1,,2023-01-11 13:47:04.500000
53531,22,1,,2024-09-09 13:22:00.840000
53558,29,1,,2022-01-18 12:58:03.973000
53605,21,1,,2021-07-08 12:10:04.623000
53773,20,1,,2024-01-12 15:56:27.980000
53775,34,1,,2025-01-07 15:40:50.573000
53781,17,1,,2024-01-11 16:38:49.787000
53793,38,1,,2026-01-27 16:36:00.217000
53883,26,1,,2024-03-01 14:33:37.503000
53893,11,1,,2025-09-11 23:12:00.227000
53916,12,1,,2023-11-08 18:55:41.147000
53931,6,1,,2024-11-07 19:04:06.843000
53972,10,1,,2023-11-08 19:00:24.170000
53986,18,1,,2024-12-04 18:18:01.283000
53988,20,1,,2024-12-04 17:54:48.153000
54018,33,1,,2023-07-21 17:08:27.567000
54021,26,1,,2024-05-24 15:25:57.877000
54061,23,1,,2025-12-22 15:12:01.600000
54095,68,1,,2025-09-26 17:04:56.287000
54111,50,1,,2025-09-26 17:14:53.837000
54117,88,1,,2026-01-23 13:39:50.980000
54188,33,1,,2024-08-28 20:13:46.587000
54191,27,1,,2023-11-08 18:44:30.040000
54192,22,1,,2024-05-29 21:01:59.010000
54194,23,1,,2023-11-14 18:27:57.620000
54195,22,1,,2023-11-15 12:11:05.687000
54196,20,1,,2023-11-15 12:12:26.513000
54257,14,1,,2023-11-08 16:53:27.500000
54269,14,1,,2023-11-14 18:04:43.317000
54270,16,1,,2023-11-14 18:06:31.857000
54283,15,1,,2023-11-15 12:26:18.487000
54295,27,1,,2023-11-10 16:31:05.127000
54300,16,1,,2023-11-07 15:46:52.153000
54327,7,1,,2023-11-07 15:11:38.770000
54338,55,1,,2025-08-29 17:41:30.190000
54386,38,1,<p>N/A</p>,2024-08-29 12:08:32.907000
54418,28,1,<p>N/A</p>,2023-11-22 15:31:11.230000
54422,21,1,<p>N/A</p>,2024-05-24 11:58:39.250000
54445,27,1,<p>N/A</p>,2023-11-22 16:55:45.027000
54472,30,1,,2023-02-20 19:12:21.977000
54480,16,1,,2025-09-22 13:50:29.260000
54484,13,1,,2025-09-18 20:04:08.467000
54498,24,1,<p>N/A</p>,2023-11-22 15:32:47.737000
54516,48,1,,2026-04-08 14:06:15.063000
54543,21,1,,2025-09-22 11:56:22.920000
54548,36,1,,2025-09-17 14:15:48.320000
54555,18,1,,2024-01-12 16:25:49.560000
54559,12,1,,2021-08-30 15:52:16.347000
54563,54,1,,2024-11-25 13:05:37.657000
54602,25,1,,2025-12-22 16:31:51.870000
54610,3,1,,2023-11-07 12:31:09.633000
54611,5,1,,2023-11-07 12:27:57.420000
54612,4,1,,2023-11-15 17:57:45.830000
54613,3,1,,2023-11-07 12:27:00.820000
54635,31,1,,2023-11-08 19:11:27.427000
54641,13,1,,2023-11-17 12:43:00.367000
54643,13,1,,2023-11-17 12:44:31.623000
54660,14,1,,2023-11-17 12:42:28.030000
54682,34,1,,2024-01-25 15:14:26.247000
54685,17,1,,2023-11-08 15:22:47.923000
54686,22,1,,2024-09-14 23:02:26.880000
54688,23,1,,2023-11-08 18:48:22.273000
54689,32,1,,2023-11-07 18:21:11.073000
54767,71,1,,2026-05-01 12:54:23.607000
54768,38,1,,2025-08-14 14:11:36.627000
54769,27,1,,2022-01-18 13:00:18.330000
54795,42,1,<p>N/A</p>,2024-03-15 10:14:22.883000
54799,67,1,,2026-05-01 12:53:41.910000
54830,9,1,,2024-04-05 20:59:32.543000
54831,28,1,,2023-08-24 15:36:23.583000
54832,14,1,,2024-03-28 13:08:54.873000
54880,10,1,,2025-06-05 17:08:18.787000
54901,27,1,,2024-03-15 17:01:26.100000
54909,25,1,,2023-09-22 19:02:46.940000
54919,22,1,,2025-06-23 20:12:18.457000
54923,45,1,,2026-01-22 14:31:43.340000
54926,25,1,,2025-05-09 14:50:07.673000
54929,40,1,,2025-09-18 16:52:51.320000
54953,70,1,,2026-02-20 13:00:23.130000
54954,28,1,,2023-01-20 14:21:01.950000
54958,28,1,,2025-12-24 18:28:57.357000
54961,21,1,,2026-04-02 15:20:29.757000
54969,52,1,,2025-09-22 11:54:20.783000
54975,17,1,<p>N/A</p>,2023-11-22 15:12:08.723000
54982,28,1,,2025-05-09 14:48:53.240000
55001,69,1,<p>N/A</p>,2026-04-30 16:07:55.720000
55028,45,1,<p>NA</p>,2025-10-08 13:33:18.250000
55044,18,1,,2023-11-22 19:02:01.370000
55056,14,1,,2023-11-17 12:43:34.087000
55058,7,1,,2023-11-16 19:29:34.077000
55061,13,1,,2026-06-16 19:35:52.507000
55069,26,1,,2025-08-14 17:49:02.470000
55115,18,1,<p>N/A</p>,2026-05-05 18:56:37.197000
55136,19,1,,2024-01-24 13:36:42.907000
55146,17,1,,2026-04-21 17:09:34.400000
55147,30,1,,2024-09-17 12:22:14.093000
55161,23,1,,2023-08-23 17:01:05.517000
55162,20,1,,2026-07-24 11:52:37.973000
55169,15,1,,2025-10-22 15:38:30.760000
55175,25,1,,2025-12-23 19:00:35.997000
55193,15,1,,2026-04-20 12:22:57.100000
55197,35,1,,2026-02-20 13:10:20.513000
55200,37,1,,2025-12-23 17:38:53.770000
55206,18,1,,2023-11-20 17:27:56.733000
55210,15,1,,2026-01-22 14:36:51.733000
55215,9,1,,2023-11-16 19:23:06.713000
55224,37,1,,2026-06-18 12:38:09.197000
55227,19,1,,2025-08-14 17:32:58.583000
55229,46,1,,2026-01-23 14:05:44.040000
55230,18,1,,2025-12-23 17:56:22.913000
55231,17,1,,2026-01-22 14:47:58.773000
55233,21,1,,2024-09-17 14:09:15.763000
55235,15,1,,2023-07-19 14:22:47.770000
55239,65,1,<p>N/A</p>,2026-06-24 20:03:12.810000
55264,14,1,<p>N/A</p>,2023-11-22 16:47:04.123000
55294,34,1,<p>N/A</p>,2025-08-29 14:09:45.287000
55310,12,1,,2025-08-28 12:06:50.787000
55315,17,1,,2025-09-26 22:10:37.770000
55326,40,1,,2023-11-16 19:26:40.470000
55336,49,1,,2025-08-21 12:24:21.757000
55354,35,1,,2023-06-05 13:31:53.543000
55426,132,1,,2026-06-24 19:02:21.373000
55478,12,1,,2023-11-08 19:17:03.297000
55503,5,1,,2023-11-22 16:23:07.637000
55505,5,1,,2023-11-22 16:22:29.047000
55530,35,1,,2025-06-20 20:58:13.200000
55584,19,1,,2023-11-08 19:11:50.353000
55595,17,1,<p>N/A</p>,2024-09-09 15:11:52.277000
55596,13,1,<p>N/A</p>,2023-11-22 18:55:46.797000
55597,24,1,<p>N/A</p>,2023-11-22 18:26:57.383000
55621,17,1,,2026-04-21 17:41:21.317000
