article_id,article_version,revenue_code_id,revenue_code_version,range,last_updated,description
52369,17,0490,15,X,2026-07-14 22:42:58.383000,Ambulatory Surgical Care - General Classification
52369,17,0499,15,Z,2026-07-14 22:42:58.383000,Ambulatory Surgical Care - Other Ambulatory Surgical Care
52369,17,0360,15,X,2026-07-14 22:42:58.383000,Operating Room Services - General Classification
52369,17,0367,15,Y,2026-07-14 22:42:58.383000,Operating Room Services - Kidney Transplant
52369,17,0361,15,Y,2026-07-14 22:42:58.383000,Operating Room Services - Minor Surgery
52369,17,0362,15,Y,2026-07-14 22:42:58.383000,Operating Room Services - Organ Transplant - Other than Kidney
52369,17,0369,15,Z,2026-07-14 22:42:58.383000,Operating Room Services - Other OR Services
52369,17,0963,15,Y,2026-07-14 22:42:58.383000,Professional Fees - Anesthesiologist (MD)
52369,17,0964,15,Y,2026-07-14 22:42:58.383000,Professional Fees - Anesthetist (CRNA)
52369,17,0960,15,X,2026-07-14 22:42:58.383000,Professional Fees - General Classification
52369,17,0975,15,N,2026-07-14 22:42:58.383000,Professional Fees - Operating Room
52369,17,0962,15,Y,2026-07-14 22:42:58.383000,Professional Fees - Ophthalmology
52369,17,0969,15,Z,2026-07-14 22:42:58.383000,Professional Fees - Other Professional Fee
52369,17,0982,15,N,2026-07-14 22:42:58.383000,Professional Fees - Outpatient Services
52369,17,0961,15,Y,2026-07-14 22:42:58.383000,Professional Fees - Psychiatric
52369,17,0760,15,X,2026-07-14 22:42:58.383000,Specialty Services - General Classification
52369,17,0762,15,Y,2026-07-14 22:42:58.383000,Specialty Services - Observation Hours
52369,17,0769,15,Z,2026-07-14 22:42:58.383000,Specialty Services - Other Specialty Services
52369,17,0761,15,Y,2026-07-14 22:42:58.383000,Specialty Services - Treatment Room
52430,12,99999,15,N,2025-11-26 22:23:51.143000,Not Applicable
52432,14,0490,15,N,2023-11-07 17:38:39.773000,Ambulatory Surgical Care - General Classification
52432,14,0510,15,N,2023-11-07 17:38:39.777000,Clinic - General Classification
52432,14,0982,15,N,2023-11-07 17:38:39.783000,Professional Fees - Outpatient Services
52432,14,0962,15,N,2023-11-07 17:38:39.780000,Professional Fees - Ophthalmology
52432,14,0960,15,N,2023-11-07 17:38:39.780000,Professional Fees - General Classification
52432,14,0983,15,N,2023-11-07 17:38:39.783000,Professional Fees - Clinic
52432,14,0360,15,N,2023-11-07 17:38:39.773000,Operating Room Services - General Classification
52435,14,0983,15,N,2025-11-26 22:25:16.793000,Professional Fees - Clinic
52435,14,0531,15,N,2025-11-26 22:25:16.790000,Osteopathic Services - Osteopathic Therapy
52435,14,0517,15,N,2025-11-26 22:25:16.787000,Clinic - Family Practice Clinic
52435,14,0516,15,N,2025-11-26 22:25:16.783000,Clinic - Urgent Care Clinic
52437,17,0519,15,N,2025-11-26 22:26:52.037000,Clinic - Other Clinic
52437,17,0510,15,N,2025-11-26 22:26:52.033000,Clinic - General Classification
52437,17,0490,15,N,2025-11-26 22:26:52.027000,Ambulatory Surgical Care - General Classification
52437,17,0499,15,N,2025-11-26 22:26:52.030000,Ambulatory Surgical Care - Other Ambulatory Surgical Care
52437,17,0272,15,N,2025-11-26 22:26:52,Medical/Surgical Supplies and Devices - Sterile Supply
52437,17,0622,15,N,2025-11-26 22:26:52.040000,Medical/Surgical Supplies and Devices - Supplies Incident to Other DX Services
52437,17,0621,15,N,2025-11-26 22:26:52.040000,Medical/Surgical Supplies and Devices - Supplies Incident to Radiology
52437,17,0623,15,N,2025-11-26 22:26:52.043000,Medical/Surgical Supplies and Devices - Surgical Dressings
52437,17,0270,15,N,2025-11-26 22:26:51.990000,Medical/Surgical Supplies and Devices - General Classification
52437,17,0271,15,N,2025-11-26 22:26:51.997000,Medical/Surgical Supplies and Devices - Non-sterile Supply
52437,17,0279,15,N,2025-11-26 22:26:52.003000,Medical/Surgical Supplies and Devices - Other Supplies/Devices
52437,17,0920,15,N,2025-11-26 22:26:52.053000,Other Diagnostic Services - General Classification
52437,17,0983,15,N,2025-11-26 22:26:52.070000,Professional Fees - Clinic
52437,17,0250,15,N,2025-11-26 22:26:51.973000,Pharmacy - General Classification
52437,17,0254,15,N,2025-11-26 22:26:51.980000,Pharmacy - Drugs Incident to Other Diagnostic Services
52437,17,0255,15,N,2025-11-26 22:26:51.983000,Pharmacy - Drugs Incident to Radiology
52437,17,0636,15,N,2025-11-26 22:26:52.047000,Pharmacy - Drugs Requiring Detailed Coding
52437,17,0259,15,N,2025-11-26 22:26:51.987000,Pharmacy - Other Pharmacy
52437,17,0360,15,N,2025-11-26 22:26:52.020000,Operating Room Services - General Classification
52437,17,0341,15,N,2025-11-26 22:26:52.017000,Nuclear Medicine - Diagnostic
52437,17,0340,15,N,2025-11-26 22:26:52.013000,Nuclear Medicine - General Classification
52437,17,0361,15,N,2025-11-26 22:26:52.023000,Operating Room Services - Minor Surgery
52437,17,0960,15,N,2025-11-26 22:26:52.057000,Professional Fees - General Classification
52437,17,0975,15,N,2025-11-26 22:26:52.067000,Professional Fees - Operating Room
52437,17,0982,15,N,2025-11-26 22:26:52.070000,Professional Fees - Outpatient Services
52437,17,0969,15,N,2025-11-26 22:26:52.060000,Professional Fees - Other Professional Fee
52437,17,0974,15,N,2025-11-26 22:26:52.060000,Professional Fees - Radiology - Nuclear
52437,17,0761,15,N,2025-11-26 22:26:52.050000,Specialty Services - Treatment Room
52437,17,0329,15,N,2025-11-26 22:26:52.010000,Radiology - Diagnostic - Other Radiology - Diagnostic
52437,17,0320,15,N,2025-11-26 22:26:52.007000,Radiology - Diagnostic - General Classification
52438,22,0250,15,N,2025-09-18 20:45:40.893000,Pharmacy - General Classification
52470,19,0983,15,N,2026-07-27 18:03:29.237000,Professional Fees - Clinic
52470,19,0940,15,N,2026-07-27 18:03:29.220000,Other Therapeutic Services - General Classification
52470,19,0920,15,N,2026-07-27 18:03:29.220000,Other Diagnostic Services - General Classification
52470,19,0369,15,N,2026-07-27 18:03:29.197000,Operating Room Services - Other OR Services
52470,19,0361,15,N,2026-07-27 18:03:29.193000,Operating Room Services - Minor Surgery
52470,19,0360,15,N,2026-07-27 18:03:29.190000,Operating Room Services - General Classification
52470,19,0710,15,N,2026-07-27 18:03:29.213000,Recovery Room - General Classification
52470,19,0761,15,N,2026-07-27 18:03:29.217000,Specialty Services - Treatment Room
52470,19,0969,15,N,2026-07-27 18:03:29.227000,Professional Fees - Other Professional Fee
52470,19,0982,15,N,2026-07-27 18:03:29.233000,Professional Fees - Outpatient Services
52470,19,0975,15,N,2026-07-27 18:03:29.227000,Professional Fees - Operating Room
52470,19,0960,15,N,2026-07-27 18:03:29.223000,Professional Fees - General Classification
52470,19,0981,15,N,2026-07-27 18:03:29.230000,Professional Fees - Emergency Room Services
52470,19,0300,15,N,2026-07-27 18:03:29.187000,Laboratory - General Classification
52470,19,0309,15,N,2026-07-27 18:03:29.190000,Laboratory - Other Laboratory
52470,19,0520,15,N,2026-07-27 18:03:29.210000,Freestanding Clinic - General Classification
52470,19,0510,15,N,2026-07-27 18:03:29.203000,Clinic - General Classification
52470,19,0517,15,N,2026-07-27 18:03:29.207000,Clinic - Family Practice Clinic
52470,19,0519,15,N,2026-07-27 18:03:29.210000,Clinic - Other Clinic
52470,19,0516,15,N,2026-07-27 18:03:29.207000,Clinic - Urgent Care Clinic
52470,19,0450,15,N,2026-07-27 18:03:29.200000,Emergency Room - General Classification
52470,19,0456,15,N,2026-07-27 18:03:29.200000,Emergency Room - Urgent Care
52571,143,99999,15,N,2026-07-10 13:46:46.210000,Not Applicable
52825,12,0901,15,N,2026-07-14 22:43:05.233000,Behavioral Health Treatment/Services - Electroshock Treatment
52825,12,0916,15,N,2026-07-14 22:43:05.233000,Behavioral Health Treatment/Services - Family Therapy
52825,12,0900,15,N,2026-07-14 22:43:05.233000,Behavioral Health Treatment/Services - General Classification
52825,12,0915,15,N,2026-07-14 22:43:05.233000,Behavioral Health Treatment/Services - Group Therapy
52825,12,0914,15,N,2026-07-14 22:43:05.233000,Behavioral Health Treatment/Services - Individual Therapy
52825,12,0918,15,N,2026-07-14 22:43:05.233000,Behavioral Health Treatment/Services - Testing
52830,9,0652,11,N,2026-07-28 17:58:37.110000,Hospice Service - Continuous Home Care
52830,9,0656,11,N,2026-07-28 17:58:37.110000,Hospice Service - General Inpatient Care Non-Respite
52830,9,0655,11,N,2026-07-28 17:58:37.110000,Hospice Service - Inpatient Respite Care
52830,9,0657,11,N,2026-07-28 17:58:37.110000,Hospice Service - Physician Services
52830,9,0651,11,N,2026-07-28 17:58:37.110000,Hospice Service - Routine Home Care
