article_id,article_version,url_type_id,url_id,url,url_name,sort_order,last_updated,url_description
52369,17,1,1,http://,,1,2025-12-22 15:54:37.593000,
52369,17,2,2,http://,,2,2025-12-22 15:54:37.597000,
52369,17,3,3,http://,,3,2025-12-22 15:54:37.597000,
52369,17,4,4,http://,,4,2025-12-22 15:54:37.600000,
52370,135,1,1,http://,,1,2026-07-31 17:44:07.490000,
52370,135,2,2,http://,,2,2026-07-31 17:44:07.507000,
52370,135,3,3,http://,,3,2026-07-31 17:44:07.527000,
52370,135,4,4,https://www.accessdata.fda.gov/scripts/cder/daf/,FDA Web site,4,2026-07-31 17:44:07.543000,
52379,10,1,1,http://,,1,2023-11-17 21:59:58.707000,
52379,10,2,2,http://,,2,2023-11-17 21:59:58.710000,
52379,10,3,3,http://,,3,2023-11-17 21:59:58.710000,
52379,10,4,4,http://,,4,2023-11-17 21:59:58.713000,
52399,75,1,1,http://,,1,2026-07-07 14:19:53.123000,
52399,75,2,2,http://,,2,2026-07-07 14:19:53.130000,
52399,75,3,3,http://,,3,2026-07-07 14:19:53.133000,
52399,75,4,4,https://www.accessdata.fda.gov/scripts/cder/daf/,FDA Web site,4,2026-07-07 14:19:53.140000,
52420,64,1,1,http://,,1,2025-12-22 14:16:58.860000,
52420,64,2,2,http://,,2,2025-12-22 14:16:58.863000,
52420,64,3,3,http://,,3,2025-12-22 14:16:58.867000,
52420,64,4,4,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMA/pma.cfm,FDA Premarket Notification Database,4,2025-12-22 14:16:58.870000,
52421,23,1,1,http://,,1,2023-09-22 19:00:52.680000,
52421,23,2,2,http://,,2,2023-09-22 19:00:52.680000,
52421,23,3,3,http://,,3,2023-09-22 19:00:52.683000,
52421,23,4,4,https://www.accessdata.fda.gov/scripts/cder/daf/,FDA Web site,4,2023-09-22 19:00:52.687000,
52423,84,1,1,http://,,1,2024-09-19 20:53:55.310000,
52423,84,2,2,http://,,2,2024-09-19 20:53:55.313000,
52423,84,3,3,http://,,3,2024-09-19 20:53:55.313000,
52423,84,4,4,https://www.accessdata.fda.gov/scripts/cder/daf/,FDA Web site,4,2024-09-19 20:53:55.317000,
52430,12,1,1,http://,,1,2025-11-26 22:23:51.180000,
52430,12,2,2,http://,,2,2025-11-26 22:23:51.183000,
52430,12,3,3,http://,,3,2025-11-26 22:23:51.187000,
52430,12,4,4,http://,,4,2025-11-26 22:23:51.187000,
52432,14,1,1,http://,,1,2023-11-07 17:38:39.937000,
52432,14,2,2,http://,,2,2023-11-07 17:38:39.940000,
52432,14,3,3,http://,,3,2023-11-07 17:38:39.943000,
52432,14,4,4,http://,,4,2023-11-07 17:38:39.947000,
52434,51,1,1,http://,,1,2024-09-20 16:59:11.233000,
52434,51,2,2,http://,,2,2024-09-20 16:59:11.237000,
52434,51,3,3,http://,,3,2024-09-20 16:59:11.240000,
52434,51,4,4,http://,,4,2024-09-20 16:59:11.240000,
52435,14,1,1,http://,,1,2025-11-26 22:25:16.877000,
52435,14,2,2,http://,,2,2025-11-26 22:25:16.880000,
52435,14,3,3,http://,,3,2025-11-26 22:25:16.880000,
52435,14,4,4,http://,,4,2025-11-26 22:25:16.883000,
52437,17,1,1,http://,,1,2025-11-26 22:26:52.133000,
52437,17,2,2,http://,,2,2025-11-26 22:26:52.137000,
52437,17,3,3,http://,,3,2025-11-26 22:26:52.137000,
52437,17,4,4,http://,,4,2025-11-26 22:26:52.140000,
52438,22,1,1,http://,,1,2025-09-18 20:45:45.470000,
52438,22,2,2,http://,,2,2025-09-18 20:45:45.477000,
52438,22,3,3,http://,,3,2025-09-18 20:45:45.477000,
52438,22,4,4,http://,,4,2025-09-18 20:45:45.480000,
52447,30,1,1,http://,,1,2021-09-24 13:06:32.720000,
52447,30,2,2,http://,,2,2021-09-24 13:06:32.723000,
52447,30,3,3,http://,,3,2021-09-24 13:06:32.723000,
52447,30,4,4,http://,,4,2021-09-24 13:06:32.723000,
52448,24,1,1,http://,,1,2025-09-17 14:20:33.140000,
52448,24,2,2,http://,,2,2025-09-17 14:20:33.140000,
52448,24,3,3,http://,,3,2025-09-17 14:20:33.143000,
52448,24,4,4,https://www.accessdata.fda.gov/scripts/cder/daf/,FDA Web site,4,2025-09-17 14:20:33.150000,
52450,83,1,1,http://,,1,2026-06-12 01:18:49.327000,
52450,83,2,2,http://,,2,2026-06-12 01:18:49.327000,
52450,83,3,3,http://,,3,2026-06-12 01:18:49.330000,
52450,83,4,4,https://www.accessdata.fda.gov/scripts/cder/daf/,FDA Web site,4,2026-06-12 01:18:49.333000,
52451,89,1,1,http://,,1,2026-07-24 15:36:33.947000,
52451,89,2,2,http://,,2,2026-07-24 15:36:33.950000,
52451,89,3,3,http://,,3,2026-07-24 15:36:33.950000,
52451,89,4,4,https://www.accessdata.fda.gov/scripts/cder/daf/,FDA Web site,4,2026-07-24 15:36:33.957000,
52453,49,1,1,http://,,1,2025-09-17 14:17:07.567000,
52453,49,2,2,http://,,2,2025-09-17 14:17:07.570000,
52453,49,3,3,http://,,3,2025-09-17 14:17:07.573000,
52453,49,4,4,http://,,4,2025-09-17 14:17:07.573000,
52457,65,1,1,http://,,1,2026-04-03 00:25:33.137000,
52457,65,2,2,http://,,2,2026-04-03 00:25:33.140000,
52457,65,3,3,http://,,3,2026-04-03 00:25:33.143000,
52457,65,4,4,http://,,4,2026-04-03 00:25:33.147000,
52458,40,1,1,http://,,1,2026-04-15 12:41:36.810000,
52458,40,2,2,http://,,2,2026-04-15 12:41:36.813000,
52458,40,3,3,http://,,3,2026-04-15 12:41:36.817000,
52458,40,4,4,http://,,4,2026-04-15 12:41:36.820000,
52459,23,1,1,http://,,1,2022-04-07 21:36:30.353000,
52459,23,2,2,http://,,2,2022-04-07 21:36:30.367000,
52459,23,3,3,http://,,3,2022-04-07 21:36:30.387000,
52459,23,4,4,http://,,4,2022-04-07 21:36:30.400000,
52460,16,1,1,http://,,1,2022-04-07 21:37:19.497000,
52460,16,2,2,http://,,2,2022-04-07 21:37:19.500000,
52460,16,3,3,http://,,3,2022-04-07 21:37:19.500000,
52460,16,4,4,http://,,4,2022-04-07 21:37:19.500000,
52461,21,1,1,http://,,1,2022-04-07 21:38:51.557000,
52461,21,2,2,http://,,2,2022-04-07 21:38:51.557000,
52461,21,3,3,http://,,3,2022-04-07 21:38:51.560000,
52461,21,4,4,http://,,4,2022-04-07 21:38:51.567000,
52462,32,1,1,http://,,1,2025-09-11 13:46:37.803000,
52462,32,2,2,http://,,2,2025-09-11 13:46:37.807000,
52462,32,3,3,http://,,3,2025-09-11 13:46:37.810000,
52462,32,4,4,http://,,4,2025-09-11 13:46:37.813000,
52463,32,1,1,http://,,1,2025-09-11 13:48:26.567000,
52463,32,2,2,http://,,2,2025-09-11 13:48:26.573000,
52463,32,3,3,http://,,3,2025-09-11 13:48:26.593000,
52463,32,4,4,http://,,4,2025-09-11 13:48:26.620000,
52464,65,1,1,http://,,1,2026-04-15 12:46:45.550000,
52464,65,2,2,http://,,2,2026-04-15 12:46:45.553000,
52464,65,3,3,http://,,3,2026-04-15 12:46:45.557000,
52464,65,4,4,http://,,4,2026-04-15 12:46:45.560000,
52465,72,1,1,http://,,1,2026-04-01 18:31:26.320000,
52465,72,2,2,http://,,2,2026-04-01 18:31:26.323000,
52465,72,3,3,http://,,3,2026-04-01 18:31:26.327000,
52465,72,4,4,http://,,4,2026-04-01 18:31:26.330000,
52466,87,1,1,http://,,1,2026-06-10 15:25:06.790000,
52466,87,2,2,http://,,2,2026-06-10 15:25:06.793000,
52466,87,3,3,http://,,3,2026-06-10 15:25:06.797000,
52466,87,4,4,http://,,4,2026-06-10 15:25:06.800000,
52467,54,1,1,http://,,1,2024-05-08 15:56:44.063000,
52467,54,2,2,http://,,2,2024-05-08 15:56:44.067000,
52467,54,3,3,http://,,3,2024-05-08 15:56:44.073000,
52467,54,4,4,http://,,4,2024-05-08 15:56:44.083000,
52468,22,1,1,http://,,1,2022-04-07 21:44:53.107000,
52468,22,2,2,http://,,2,2022-04-07 21:44:53.110000,
52468,22,3,3,http://,,3,2022-04-07 21:44:53.110000,
52468,22,4,4,http://,,4,2022-04-07 21:44:53.113000,
52469,28,1,1,http://,,1,2024-10-09 18:19:01.080000,
52469,28,2,2,http://,,2,2024-10-09 18:19:01.093000,
52469,28,3,3,http://,,3,2024-10-09 18:19:01.100000,
52469,28,4,4,http://,,4,2024-10-09 18:19:01.113000,
52470,19,1,1,http://,,1,2026-07-27 18:03:29.270000,
52470,19,2,2,http://,,2,2026-07-27 18:03:29.270000,
52470,19,3,3,http://,,3,2026-07-27 18:03:29.273000,
52470,19,4,4,http://,,4,2026-07-27 18:03:29.277000,
52474,40,1,1,http://,,1,2025-09-12 13:35:43.440000,
52474,40,2,2,http://,,2,2025-09-12 13:35:43.443000,
52474,40,3,3,http://,,3,2025-09-12 13:35:43.443000,
52474,40,4,4,http://,,4,2025-09-12 13:35:43.447000,
52476,27,1,1,http://,,1,2022-04-07 14:02:30.123000,
52476,27,2,2,http://,,2,2022-04-07 14:02:30.143000,
52476,27,3,3,http://,,3,2022-04-07 14:02:30.160000,
52476,27,4,4,http://,,4,2022-04-07 14:02:30.163000,
52477,16,1,1,http://,,1,2022-04-07 14:09:34.573000,
52477,16,2,2,http://,,2,2022-04-07 14:09:34.587000,
52477,16,3,3,http://,,3,2022-04-07 14:09:34.600000,
52477,16,4,4,http://,,4,2022-04-07 14:09:34.613000,
52478,26,1,1,http://,,1,2025-10-03 15:02:26.390000,
52478,26,2,2,http://,,2,2025-10-03 15:02:26.393000,
52478,26,3,3,http://,,3,2025-10-03 15:02:26.393000,
52478,26,4,4,http://,,4,2025-10-03 15:02:26.397000,
52479,73,1,1,http://,,1,2025-12-31 13:50:40.580000,
52479,73,2,2,http://,,2,2025-12-31 13:50:40.580000,
52479,73,3,3,http://,,3,2025-12-31 13:50:40.583000,
52479,73,4,4,http://,,4,2025-12-31 13:50:40.587000,
52480,90,1,1,http://,,1,2025-12-31 14:02:27.037000,
52480,90,2,2,http://,,2,2025-12-31 14:02:27.040000,
52480,90,3,3,http://,,3,2025-12-31 14:02:27.040000,
52480,90,4,4,http://,,4,2025-12-31 14:02:27.043000,
52481,30,1,1,http://,,1,2025-03-27 12:56:19.403000,
52481,30,2,2,http://,,2,2025-03-27 12:56:19.403000,
52481,30,3,3,http://,,3,2025-03-27 12:56:19.407000,
52481,30,4,4,http://,,4,2025-03-27 12:56:19.410000,
52487,33,1,1,http://,,1,2025-04-03 16:17:00.720000,
52487,33,2,2,http://,,2,2025-04-03 16:17:00.723000,
52487,33,3,3,http://,,3,2025-04-03 16:17:00.723000,
52487,33,4,4,http://,,4,2025-04-03 16:17:00.727000,
52489,24,1,1,http://,,1,2022-04-07 14:19:18.937000,
52489,24,2,2,http://,,2,2022-04-07 14:19:19.037000,
52489,24,3,3,http://,,3,2022-04-07 14:19:19.040000,
52489,24,4,4,http://,,4,2022-04-07 14:19:19.040000,
52490,27,1,1,http://,,1,2022-04-07 14:19:58.927000,
