contractor_id,contractor_type_id,contractor_version,contractor_bus_name,contractor_number,dmerc_rgn,address1,address2,address3,city,state_id,zipcode,phone,fax,status,last_updated,url,email,ignore,status_flag,cmd_name,cmd_title,contractor_subtype_id
139,10,2,"Noridian Healthcare Solutions, LLC",19003,4,PO Box 6727,,,Fargo,35,58108-6727,8773200390,,A,2025-07-16 21:37:36.093000,https://med.noridianmedicare.com/web/jddme,,,Y,Angela S. Jenny,"DO, DABFM",4
140,10,2,"CGS Administrators, LLC",18003,3,26 Century Blvd,Ste ST610,,Nashville,50,37214-3685,8662704909,,A,2022-01-07 20:37:45.337000,www.cgsmedicare.com/jc,,,Y,"Robert D. Hoover, Jr.","MD, MPH, FACP",4
143,8,1,Wisconsin Physicians Service Insurance Corporation,05101,11,1717  W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:40:31.487000,https://med.wpsgha.com/,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,1
144,8,1,Wisconsin Physicians Service Insurance Corporation,05201,11,1717 W.Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:41:49.157000,https://med.wpsgha.com,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,1
145,8,1,Wisconsin Physicians Service Insurance Corporation,05301,11,1717 W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:41:09.963000,https://med.wpsgha.com,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,1
146,8,1,Wisconsin Physicians Service Insurance Corporation,05401,11,1717 W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:42:32.433000,https://med.wpsgha.com,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,1
147,9,1,Wisconsin Physicians Service Insurance Corporation,05102,11,1717 W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:44:23.240000,https://med.wpsgha.com,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,2
148,9,1,Wisconsin Physicians Service Insurance Corporation,05202,11,1717 W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:44:47.613000,https://med.wpsgha.com,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,2
149,9,1,Wisconsin Physicians Service Insurance Corporation,05302,11,1717 W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:45:18.427000,https://med.wpsgha.com,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,2
151,9,1,Wisconsin Physicians Service Insurance Corporation,05402,11,1717 W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-01-02 20:45:47.130000,https://med.wpsgha.com,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,2
228,9,2,"CGS Administrators, LLC",15102,14,26 Century Blvd.,Ste. ST610,,Nashville,50,37214-3685,8662769558,,A,2021-01-05 17:54:20.633000,www.cgsmedicare.com,,,Y,"Meredith Loveless, MD",Chief Medical Director,2
236,11,2,"CGS Administrators, LLC",15004,14,Two Vantage Way,,,Nashville,50,37228-,8772994500,,A,2021-01-05 17:55:01.383000,www.cgsmedicare.com,,,Y,"Neil Sandler, MD",Chief Medical Officer,3
238,9,2,"CGS Administrators, LLC",15202,14,26 Century Blvd.,Ste. ST610,,Nashville,50,37214-3685,8662769558,,A,2021-01-05 17:53:52.357000,www.cgsmedicare.com,,,Y,"Meredith Loveless, MD,",Chief Medical Director,2
239,8,1,"CGS Administrators, LLC",15101,14,26 Century Blvd.,Ste ST610,,Nashville,50,37214-3685,8665906703,,A,2020-09-21 15:54:06.263000,www.cgsmedicare.com,,,Y,"Meredith Loveless, MD",Chief Medical Officer,1
240,8,1,"CGS Administrators, LLC",15201,14,26 Century Blvd.,Ste. ST610,,Nashville,50,37214-3685,8665906703,,A,2020-09-21 15:55:13.993000,www.cgsmedicare.com,,,Y,"Meredith Loveless, MD",Chief Medical Officer,1
264,8,1,Wisconsin Physicians Service Insurance Corporation,08101,13,1717 W. Broadway,PO BOX 1787,,Madison,57,53701-1787,8662347331,,A,2024-02-02 14:53:12.050000,https://med.wpsgha.com/,,,Y,"Denise Nachodsky, M.D.",MAC Jurisdiction 8 Contractor Medical Director,1
265,9,1,Wisconsin Physicians Service Insurance Corporation,08102,13,1717 W. Broadway,PO BOX 1787,,Madison,57,53701-1787,8662347331,,A,2024-02-02 14:54:25.800000,https://med.wpsgha.com/,,,Y,"Denise Nachodsky, M.D.",MAC Jurisdiction 8 Contractor Medical Director,2
266,8,1,Wisconsin Physicians Service Insurance Corporation,08201,13,1717 W. Broadway,PO BOX 1787,,Madison,57,53701-1787,8662347331,,A,2024-02-02 14:53:33.537000,https://med.wpsgha.com/,,,Y,"Denise Nachodsky, M.D.",MAC Jurisdiction 8 Contractor Medical Director,1
267,9,1,Wisconsin Physicians Service Insurance Corporation,08202,13,1717 W. Broadway,PO BOX 1787,,Madison,57,53701-1787,8662347331,,A,2024-02-02 14:54:43.357000,https://med.wpsgha.com/,,,Y,"Denise Nachodsky, M.D.",MAC Jurisdiction 8 Contractor Medical Director,2
268,8,1,Wisconsin Physicians Service Insurance Corporation,05901,11,1717 W. Broadway,PO Box 1787,,Madison,57,53701-1787,8665183285,,A,2024-02-02 14:52:54.067000,https://med.wpsgha.com/,,,Y,"Juan Schaening-Perez, MD",MAC Jurisdiction 5 Contractor Medical Director,1
269,8,1,"National Government Services, Inc.",06101,12,P.O. Box 7108,,,Indianapolis,20,46207-7108,8662347340,,A,2026-04-30 23:08:39.183000,www.ngsmedicare.com,,,Y,"Marc Duerden, MD",J6 Contract Medical Director,1
270,8,1,"National Government Services, Inc.",06201,12,P.O. Box 7108,,,Indianapolis,20,46207-7108,8662347340,,A,2026-04-30 23:10:12.123000,www.ngsmedicare.com,,,Y,"Marc Duerden, MD",J6 Contract Medical Director,1
271,8,1,"National Government Services, Inc.",06301,12,P.O. Box 7108,,,Indianapolis,20,46207-7108,8662347340,,A,2026-04-30 23:11:14.717000,www.ngsmedicare.com,,,Y,"Marc Duerden, MD",J6 Contract Medical Director,1
272,11,1,"National Government Services, Inc.",06004,12,P.O. Box 7108,,,Indianapolis,20,46207-7108,8662347340,,A,2026-04-30 23:05:03.720000,www.ngsmedicare.com,,,Y,"Carolyn Cunningham, M.D.",J6 Contract Medical Director,3
273,9,1,"National Government Services, Inc.",06102,12,P.O. Box 7108,,,Indianapolis,20,46207-7108,8662347340,,A,2026-04-30 23:09:41.243000,www.ngsmedicare.com,,,Y,"Marc Duerden, MD",J6 Contract Medical Director,2
274,9,1,"National Government Services, Inc.",06202,12,P.O. Box 7108,,,Indianapolis,20,46207-7108,8662347340,,A,2026-04-30 23:10:46.557000,www.ngsmedicare.com,,,Y,"Marc Duerden, MD",J6 Contract Medical Director,2
275,9,1,"National Government Services, Inc.",06302,12,P.O. Box 7108,,,Indianapolis,20,46207-7108,8662347340,,A,2026-04-30 23:11:59.757000,www.ngsmedicare.com,,,Y,"Marc Duerden, MD",J6 Contract Medical Director,2
297,13,1,"National Government Services, Inc.",13101,7,P.O. Box 7108,,,Indianapolis,20,46207-7108,8668370241,,A,2020-06-10 17:41:43.470000,www.ngsmedicare.com,,,Y,"Stephen D. Boren, MD",Medical Director,1
298,13,1,"National Government Services, Inc.",13201,7,P.O. Box 7108,,,Indianapolis,20,46207-7108,8668370241,,A,2020-06-10 17:44:43.990000,www.ngsmedicare.com,,,Y,"Stephen D. Boren, MD",Medical Director,1
299,13,1,"National Government Services, Inc.",13102,7,P.O. Box 7108,,,Indianapolis,20,46207-7108,8668370241,,A,2020-06-10 17:43:15.060000,www.ngsmedicare.com,,,Y,"Stephen D. Boren, MD",Contractor Medical Director,2
300,13,1,"National Government Services, Inc.",13202,7,P.O. Box 7108,,,Indianapolis,20,46207-7108,8668370241,,A,2020-06-10 17:46:07.573000,www.ngsmedicare.com,,,Y,"Stephen D. Boren, MD",Medical Director,2
301,13,1,"National Government Services, Inc.",13282,7,P.O. Box 7108,,,Indianapolis,20,46207-7108,8668370241,,A,2020-06-10 17:47:53.783000,www.ngsmedicare.com,,,Y,"Stephen D. Boren, MD",Medical Director,2
302,13,1,"National Government Services, Inc.",13292,7,P.O. Box 7108,,,Indianapolis,20,46207-7108,8668370241,,A,2020-06-10 17:49:16.977000,www.ngsmedicare.com,,,Y,"Stephen D. Boren, MD",Medical Director,2
