contractor_id,contractor_type_id,contractor_version,region_id,last_updated
139,10,2,1,2025-07-16 21:37:36.123000
140,10,2,1,2022-01-07 20:37:45.377000
143,8,1,1,2024-01-02 20:40:31.503000
144,8,1,1,2024-01-02 20:41:49.170000
145,8,1,1,2024-01-02 20:41:09.977000
146,8,1,1,2024-01-02 20:42:32.440000
147,9,1,1,2024-01-02 20:44:23.250000
148,9,1,1,2024-01-02 20:44:47.620000
149,9,1,1,2024-01-02 20:45:18.433000
151,9,1,1,2024-01-02 20:45:47.137000
228,9,2,1,2021-01-05 17:54:20.643000
236,11,2,1,2021-01-05 17:55:01.390000
238,9,2,1,2021-01-05 17:53:52.363000
239,8,1,1,2020-09-21 15:54:06.277000
240,8,1,1,2020-09-21 15:55:14
264,8,1,1,2024-02-02 14:53:12.063000
265,9,1,1,2024-02-02 14:54:25.807000
266,8,1,1,2024-02-02 14:53:33.550000
267,9,1,1,2024-02-02 14:54:43.363000
268,8,1,1,2024-02-02 14:52:54.083000
269,8,1,1,2026-04-30 23:08:39.197000
270,8,1,1,2026-04-30 23:10:12.150000
271,8,1,1,2026-04-30 23:11:14.723000
272,11,1,1,2026-04-30 23:05:03.760000
273,9,1,1,2026-04-30 23:09:41.250000
274,9,1,1,2026-04-30 23:10:46.567000
275,9,1,1,2026-04-30 23:11:59.767000
297,13,1,1,2020-06-10 17:41:43.493000
298,13,1,1,2020-06-10 17:44:43.993000
299,13,1,1,2020-06-10 17:43:15.067000
300,13,1,1,2020-06-10 17:46:07.580000
301,13,1,1,2020-06-10 17:47:53.787000
302,13,1,1,2020-06-10 17:49:16.980000
303,13,1,1,2026-04-30 23:18:10.247000
304,13,1,1,2026-04-30 23:15:16.873000
305,13,1,1,2026-04-30 23:19:29.820000
306,13,1,1,2026-04-30 23:16:32.423000
307,13,1,1,2026-04-30 23:13:43.133000
308,13,1,1,2026-05-04 19:15:33.800000
309,13,1,1,2026-04-30 23:18:55.910000
310,13,1,1,2026-04-30 23:14:37.720000
311,13,1,1,2026-04-30 23:20:00.060000
312,13,1,1,2026-04-30 23:17:12.930000
313,13,1,1,2026-04-30 23:16:08.127000
314,12,1,1,2025-12-10 16:25:57.140000
315,12,1,1,2025-12-10 16:28:33.567000
316,12,1,1,2025-12-10 16:31:04.587000
317,12,1,1,2025-12-10 16:33:08.263000
318,12,1,1,2025-12-10 16:35:24.863000
319,12,1,1,2025-12-10 16:27:28.323000
320,12,1,1,2025-12-10 16:29:36.860000
321,12,1,1,2025-12-10 16:32:04.557000
322,12,1,1,2025-12-10 16:34:24.043000
323,12,1,1,2025-12-10 16:36:27.080000
324,12,1,1,2025-12-10 16:37:28.603000
325,12,1,1,2025-12-10 16:20:32.727000
326,12,1,1,2025-12-10 16:22:31.503000
327,12,1,1,2025-12-10 16:19:34.630000
328,12,1,1,2025-12-10 16:21:30.163000
329,12,1,1,2025-12-10 16:23:27.447000
330,12,1,1,2025-12-10 16:24:23.923000
331,12,1,1,2025-12-10 16:03:23.043000
332,12,1,1,2025-12-10 16:06:13.477000
333,12,1,1,2025-12-10 16:08:38.223000
334,12,1,1,2025-12-10 16:16:15.657000
335,12,1,1,2025-12-10 16:05:03.947000
336,12,1,1,2025-12-10 16:07:33.673000
337,12,1,1,2025-12-10 16:15:15.737000
338,12,1,1,2025-12-10 16:17:32.383000
339,12,1,1,2025-12-10 16:18:33.270000
340,12,1,1,2026-07-15 15:02:34.603000
341,12,1,1,2026-07-15 15:08:06.897000
342,12,1,1,2026-07-15 15:07:36.403000
