lcd_id,lcd_version,related_num,source_lcd_id,last_updated
33393,5,1,25678,2014-04-02 14:35:31.217000
33690,18,1,13877,2016-03-23 17:53:08.073000
33690,18,2,27232,2016-05-24 11:59:19.043000
33690,18,3,13613,2016-05-24 11:59:42.677000
33690,18,4,13577,2016-05-24 11:59:55.453000
33733,17,1,4989,2016-03-01 14:47:23.513000
33733,17,2,27224,2016-05-24 12:03:32.347000
33733,17,3,11496,2016-05-24 12:03:44.843000
33733,17,4,11485,2016-05-24 12:03:55.700000
33735,17,5,27213,2016-05-24 12:13:04.850000
33735,17,6,11552,2016-05-24 12:13:57.783000
33735,17,7,5038,2016-05-24 12:14:10.857000
33735,17,8,11567,2016-05-24 12:14:30.763000
33736,18,1,4991,2016-03-01 14:49:04.477000
33736,18,2,27225,2016-05-24 12:15:47.423000
33736,18,3,11497,2016-05-24 12:15:59.387000
33736,18,4,11486,2016-05-24 12:16:11.150000
33774,13,1,29008,2014-07-01 18:49:01.233000
33784,19,1,28399,2016-02-26 17:14:52.813000
33784,19,2,28614,2016-05-23 14:59:29.560000
33784,19,3,28480,2016-05-23 14:59:39.123000
33784,19,4,28484,2016-05-23 14:59:47.127000
33786,14,1,27003,2016-02-26 17:16:20.663000
33786,14,2,11558,2016-05-23 15:00:58.717000
33786,14,3,5051,2016-05-23 15:01:08.607000
33786,14,4,11573,2016-05-23 15:01:33.410000
33795,27,1,12872,2016-02-26 18:02:05.070000
33795,27,2,12930,2016-05-23 18:01:47.033000
33795,27,3,27043,2016-05-23 18:02:00.840000
33795,27,4,12744,2016-05-23 18:02:13.320000
33820,18,1,5049,2016-02-26 17:59:39.017000
33820,18,2,11557,2016-05-23 17:58:11.030000
33820,18,3,27216,2016-05-23 17:58:23.387000
33820,18,4,11572,2016-05-23 17:58:39.830000
33823,24,1,15300,2016-02-26 15:54:08.310000
33823,24,2,15905,2016-05-23 15:50:49.220000
33823,24,3,27233,2016-05-23 15:50:53.463000
33823,24,4,15844,2016-05-23 19:22:57.090000
33825,15,1,12743,2016-02-26 15:56:22.153000
33825,15,2,12932,2016-05-23 15:56:11.757000
33825,15,3,27044,2016-05-23 15:56:16.920000
33825,15,4,12873,2016-05-23 15:56:24.423000
34213,42,1,33521,2016-03-16 20:36:54.313000
34824,19,1,34675,2016-05-24 12:33:13.290000
34824,19,2,34740,2016-05-24 12:33:27.143000
34824,19,3,34732,2016-05-24 12:33:38.827000
34824,19,4,34736,2016-05-24 12:33:52.540000
35098,25,1,33386,2016-02-12 16:50:32.563000
