lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33252,29,368,12,1,2020-06-19 22:52:07.913000
33252,29,369,12,1,2020-06-19 22:52:07.913000
33252,29,370,12,1,2020-06-19 22:52:07.913000
33252,29,371,12,1,2020-06-19 22:52:07.913000
33252,29,372,12,1,2020-06-19 22:52:07.913000
33261,40,368,12,1,2021-05-21 14:22:14.300000
33261,40,369,12,1,2021-05-21 14:22:14.300000
33261,40,370,12,1,2021-05-21 14:22:14.300000
33261,40,371,12,1,2021-05-21 14:22:14.300000
33261,40,372,12,1,2021-05-21 14:22:14.300000
33267,17,368,12,1,2019-11-21 23:30:59.287000
33267,17,369,12,1,2019-11-21 23:30:59.287000
33267,17,370,12,1,2019-11-21 23:30:59.287000
33267,17,371,12,1,2019-11-21 23:30:59.287000
33267,17,372,12,1,2019-11-21 23:30:59.287000
33274,43,368,12,1,2025-09-19 13:08:10.673000
33274,43,369,12,1,2025-09-19 13:08:10.673000
33274,43,370,12,1,2025-09-19 13:08:10.673000
33274,43,371,12,1,2025-09-19 13:08:10.673000
33274,43,372,12,1,2025-09-19 13:08:10.673000
33312,40,139,10,2,2025-09-23 19:55:07.567000
33312,40,140,10,2,2025-09-23 19:55:07.567000
33312,40,388,10,1,2025-09-23 19:55:07.567000
33312,40,389,10,1,2025-09-23 19:55:07.567000
33317,34,139,10,2,2025-03-27 12:50:40.197000
33317,34,140,10,2,2025-03-27 12:50:40.197000
33317,34,388,10,1,2025-03-27 12:50:40.197000
33317,34,389,10,1,2025-03-27 12:50:40.197000
33318,63,139,10,2,2025-12-04 18:13:27.210000
33318,63,140,10,2,2025-12-04 18:13:27.210000
33318,63,388,10,1,2025-12-04 18:13:27.210000
33318,63,389,10,1,2025-12-04 18:13:27.210000
33369,26,139,10,2,2020-02-28 20:03:20.573000
33369,26,140,10,2,2020-02-28 20:03:20.573000
33369,26,388,10,1,2020-02-28 20:03:20.573000
33369,26,389,10,1,2020-02-28 20:03:20.573000
33370,58,139,10,2,2026-02-12 16:12:15.113000
33370,58,140,10,2,2026-02-12 16:12:15.113000
33370,58,388,10,1,2026-02-12 16:12:15.113000
33370,58,389,10,1,2026-02-12 16:12:15.113000
33393,10,503,11,1,2026-07-14 18:56:12.040000
33393,10,518,13,1,2026-07-14 18:56:12.040000
33394,55,500,8,1,2026-07-16 17:06:03.583000
33394,55,501,8,1,2026-07-16 17:06:03.583000
33394,55,502,8,1,2026-07-16 17:06:03.583000
33394,55,504,9,1,2026-07-16 17:06:03.583000
33394,55,505,9,1,2026-07-16 17:06:03.583000
33394,55,506,9,1,2026-07-16 17:06:03.583000
33394,55,507,13,1,2026-07-16 17:06:03.583000
33394,55,508,13,1,2026-07-16 17:06:03.583000
33394,55,509,13,1,2026-07-16 17:06:03.583000
33394,55,510,13,1,2026-07-16 17:06:03.583000
33394,55,511,13,1,2026-07-16 17:06:03.583000
33394,55,512,13,1,2026-07-16 17:06:03.583000
33394,55,513,13,1,2026-07-16 17:06:03.583000
33394,55,514,13,1,2026-07-16 17:06:03.583000
33394,55,515,13,1,2026-07-16 17:06:03.583000
33394,55,516,13,1,2026-07-16 17:06:03.583000
33394,55,517,13,1,2026-07-16 17:06:03.583000
33394,55,519,13,1,2026-07-16 17:06:03.583000
33394,55,520,13,1,2026-07-16 17:06:03.583000
33394,55,521,13,1,2026-07-16 17:06:03.583000
33394,55,522,13,1,2026-07-16 17:06:03.583000
33394,55,523,13,1,2026-07-16 17:06:03.583000
33396,11,500,8,1,2026-07-14 20:41:57.727000
33396,11,501,8,1,2026-07-14 20:41:57.727000
33396,11,502,8,1,2026-07-14 20:41:57.727000
33396,11,504,9,1,2026-07-14 20:41:57.727000
33396,11,505,9,1,2026-07-14 20:41:57.727000
33396,11,506,9,1,2026-07-14 20:41:57.727000
33396,11,507,13,1,2026-07-14 20:41:57.727000
33396,11,508,13,1,2026-07-14 20:41:57.727000
33396,11,509,13,1,2026-07-14 20:41:57.727000
33396,11,510,13,1,2026-07-14 20:41:57.727000
33396,11,511,13,1,2026-07-14 20:41:57.727000
33396,11,512,13,1,2026-07-14 20:41:57.727000
33396,11,513,13,1,2026-07-14 20:41:57.727000
33396,11,514,13,1,2026-07-14 20:41:57.727000
33396,11,515,13,1,2026-07-14 20:41:57.727000
33396,11,516,13,1,2026-07-14 20:41:57.727000
33396,11,517,13,1,2026-07-14 20:41:57.727000
33396,11,519,13,1,2026-07-14 20:41:57.727000
33396,11,520,13,1,2026-07-14 20:41:57.727000
33396,11,521,13,1,2026-07-14 20:41:57.727000
33396,11,522,13,1,2026-07-14 20:41:57.727000
33396,11,523,13,1,2026-07-14 20:41:57.727000
33398,40,500,8,1,2026-07-16 17:54:30.043000
33398,40,501,8,1,2026-07-16 17:54:30.043000
33398,40,502,8,1,2026-07-16 17:54:30.043000
33398,40,504,9,1,2026-07-16 17:54:30.043000
33398,40,505,9,1,2026-07-16 17:54:30.043000
33398,40,506,9,1,2026-07-16 17:54:30.043000
33398,40,507,13,1,2026-07-16 17:54:30.043000
33398,40,508,13,1,2026-07-16 17:54:30.043000
33398,40,509,13,1,2026-07-16 17:54:30.043000
