lcd_id,lcd_version,reason_change_id,reason_change_version,last_updated,reason_change_other
33252,29,82,3,2020-06-19 22:52:07.837000,Revision based on CMS directive
33261,40,70,3,2021-05-21 14:22:14.223000,
33267,17,82,3,2019-11-21 23:30:58.100000,Revision based on CR 10901
33274,43,76,3,2025-09-19 13:08:10.563000,
33312,40,55,3,2025-09-23 19:55:07.483000,
33317,34,55,3,2025-03-27 12:50:40.110000,
33317,34,73,3,2025-03-27 12:50:40.110000,
33318,63,55,3,2025-12-04 18:13:27.117000,
33318,63,76,3,2025-12-04 18:13:27.117000,
33369,26,55,3,2020-02-28 20:03:20.503000,
33369,26,82,3,2020-02-28 20:03:20.503000,
33370,58,55,3,2026-02-12 16:12:14.977000,
33393,10,81,3,2026-07-14 18:56:12.033000,
33394,55,79,3,2026-07-16 17:06:03.570000,
33396,11,81,3,2026-07-14 20:41:57.727000,
33398,40,79,3,2026-07-16 17:54:30.043000,
33399,15,81,3,2026-07-14 20:41:55.513000,
33405,25,82,3,2020-06-19 22:57:32.407000,Revision based on CMS directive
33411,29,72,3,2019-10-02 20:01:15.203000,
33411,29,82,3,2019-10-02 20:01:15.203000,"Revisions based on CRs 10901, 11322, 11333"
33417,40,55,3,2021-04-05 19:41:21.767000,
33420,41,55,3,2021-02-25 14:46:39.263000,
33423,58,55,3,2025-06-20 13:43:45.387000,
33428,53,55,3,2021-07-23 13:55:57.137000,
33431,59,55,3,2025-09-12 14:31:46.170000,
33436,38,55,3,2023-11-10 13:33:12.840000,
33438,47,55,3,2024-07-12 13:09:21.227000,
33444,42,55,3,2024-12-23 14:14:07.640000,
33445,79,55,3,2025-10-17 13:31:43.890000,
33446,47,55,3,2021-06-18 14:58:02.263000,
33447,48,55,3,2024-09-10 13:47:08.253000,
33449,36,55,3,2019-11-09 15:55:07.880000,
33455,31,55,3,2021-09-03 12:52:54.543000,
33456,71,55,3,2023-06-05 14:08:41.027000,
33457,61,55,3,2023-03-14 13:39:27.127000,
33459,46,55,3,2026-06-03 14:18:38.573000,
33461,64,55,3,2024-03-01 14:55:00.330000,
33467,49,55,3,2023-05-01 14:04:49.193000,
33557,48,81,3,2026-07-14 20:41:54.743000,
33558,33,81,3,2026-07-14 20:41:54.943000,
33559,29,81,3,2026-07-14 20:41:54.827000,
33560,36,81,3,2026-07-14 20:41:54.883000,
33563,27,81,3,2026-07-14 20:41:56.020000,
33567,28,81,3,2026-07-14 20:41:57.053000,
33569,32,81,3,2026-07-14 20:41:57.467000,
33573,25,81,3,2026-07-14 20:41:54.510000,
33574,38,81,3,2026-07-14 20:41:59.280000,
33575,44,81,3,2026-07-14 20:41:59.103000,
33576,24,81,3,2026-07-14 20:41:59.047000,
33577,44,81,3,2026-07-14 20:41:58.827000,
33578,18,81,3,2026-07-14 20:41:58.763000,
33579,39,81,3,2026-07-14 20:41:58.707000,
33580,41,81,3,2026-07-14 20:41:58.393000,
33583,21,72,3,2019-10-02 19:21:14.787000,
33583,21,82,3,2019-10-02 19:21:14.787000,"Revisions based on CRs 10901, 11332, 11333"
33585,34,81,3,2026-07-14 20:41:54.677000,
33591,19,79,3,2026-07-16 17:26:30.167000,
33609,14,82,3,2020-12-31 15:54:33.027000,Revision based on TDL 200268
33610,70,55,3,2026-06-19 14:02:56.097000,
33610,70,73,3,2026-06-19 14:02:56.097000,
33611,25,55,3,2021-06-18 15:48:24.730000,
33611,25,76,3,2021-06-18 15:48:24.730000,
33612,26,55,3,2023-12-07 16:05:12.877000,
33612,26,82,3,2023-12-07 16:05:12.877000,CMS Final Rule CMS-1780-F
33614,27,81,3,2026-07-14 20:41:55.453000,
33616,11,81,3,2026-07-14 20:41:57.107000,
33618,23,82,3,2019-11-22 00:16:56.627000,Revision based on CR 10901
33619,25,81,3,2026-07-14 20:41:56.790000,
33621,16,81,3,2026-07-14 20:41:56.983000,
33622,36,81,3,2026-07-14 20:41:57.270000,
33623,26,81,3,2026-07-14 20:41:57.403000,
33624,34,81,3,2026-07-14 20:41:57.847000,
33626,45,81,3,2026-07-14 20:41:57.910000,
33627,90,81,3,2026-07-14 20:41:56.733000,
33628,34,81,3,2026-07-14 20:41:57.330000,
33630,28,81,3,2026-07-14 20:41:55.393000,
33631,52,81,3,2026-07-14 20:41:57.210000,
33632,83,81,3,2026-07-14 20:41:57.977000,
33633,50,81,3,2026-07-14 20:41:56.143000,
33636,53,81,3,2026-07-14 20:41:58.103000,
33641,21,55,3,2020-02-14 15:56:28.640000,
33641,21,82,3,2020-02-14 15:56:28.640000,
33642,26,55,3,2021-03-12 14:27:15.643000,
33671,48,70,3,2021-01-29 19:04:07.853000,
33671,48,71,3,2021-01-29 19:04:07.853000,
33674,10,82,3,2019-11-21 23:26:33.537000,Revision based on CR 10901
33686,43,55,3,2026-04-03 00:24:14.167000,
33686,43,73,3,2026-04-03 00:24:14.167000,
33689,17,82,3,2019-11-22 00:19:52.600000,Revision based on CR 10901
33690,20,82,3,2020-02-13 15:00:35.830000,
33692,21,55,3,2021-03-11 17:42:07.383000,
33692,21,82,3,2021-03-11 17:42:07.383000,
33693,28,70,3,2023-12-08 14:07:06.693000,
33695,26,82,3,2019-11-21 23:53:49.523000,Revision based on CR10901
33718,52,55,3,2023-12-07 15:39:56.283000,
33718,52,82,3,2023-12-07 15:39:56.283000,CMS Final Rule CMS-1780-F
33733,19,82,3,2020-02-13 15:03:55.230000,
33735,19,82,3,2020-02-13 15:07:16.460000,
33736,20,82,3,2020-02-13 15:23:53.783000,
33737,20,55,3,2020-02-14 15:06:48.587000,
33737,20,82,3,2020-02-14 15:06:48.587000,
33738,18,55,3,2020-02-14 15:20:12.950000,
33738,18,82,3,2020-02-14 15:20:12.950000,
33739,23,55,3,2025-10-23 15:41:54.270000,
33751,43,82,3,2022-01-28 19:43:29.337000,Typo
33756,23,72,3,2019-10-02 20:15:03.390000,
33756,23,82,3,2019-10-02 20:15:03.407000,"Revisions based on CRs 10901, 11322, 11333"
33766,25,82,3,2019-11-21 23:29:38.430000,Revision based on CR 10901
33771,42,82,3,2020-10-23 11:48:42.533000,To comply with CR 10901 and new GWS template.
33774,15,82,3,2019-12-06 14:18:44.877000,
33784,21,82,3,2020-02-14 17:24:42.973000,
33785,40,73,3,2022-11-11 16:09:24.250000,
33786,16,82,3,2020-02-14 17:26:33.470000,
33787,40,55,3,2026-04-03 00:24:54.933000,
33787,40,73,3,2026-04-03 00:24:54.933000,
33788,15,55,3,2020-02-14 19:47:57.833000,
33788,15,82,3,2020-02-14 19:47:57.833000,
33789,38,55,3,2025-10-23 16:55:32.117000,
33789,38,73,3,2025-10-23 16:55:32.117000,
33790,20,55,3,2020-02-28 19:37:39.567000,
33790,20,82,3,2020-02-28 19:37:39.567000,
33791,15,55,3,2020-02-14 19:36:03.500000,
33791,15,82,3,2020-02-14 19:36:03.500000,
33792,43,55,3,2025-10-23 16:58:10.750000,
33793,20,73,3,2020-10-09 14:39:09.520000,
33794,171,55,3,2026-06-19 14:00:46.433000,
33794,171,73,3,2026-06-19 14:00:46.433000,
33795,29,82,3,2020-02-13 18:29:06.700000,
33796,24,55,3,2023-12-07 16:02:52.427000,
33796,24,82,3,2023-12-07 16:02:52.427000,CMS Final Rule CMS-1780-F
33797,50,55,3,2023-04-14 14:44:48.630000,
33797,50,82,3,2023-04-14 14:44:48.630000,NCD 240.2 updates
33799,15,55,3,2020-02-14 17:00:49.880000,
33799,15,82,3,2020-02-14 17:00:49.880000,
33800,43,55,3,2025-10-22 19:26:49.317000,
33800,43,82,3,2025-10-22 19:26:49.317000,NCD 240.9
33801,26,55,3,2023-05-11 16:29:16.180000,
33801,26,76,3,2023-05-11 16:29:16.180000,
33802,35,55,3,2023-12-07 16:05:36.487000,
33802,35,82,3,2023-12-07 16:05:36.487000,CMS Final Rule CMS-1780-F
33803,61,55,3,2026-04-02 16:22:55.410000,
33803,61,73,3,2026-04-02 16:22:55.410000,
33813,15,82,3,2019-11-22 23:51:45.493000,Revision based on CR 10901
33818,15,82,3,2019-11-22 23:59:45.703000,Revision based on CR10901
33820,21,82,3,2020-02-13 18:29:06.557000,
33821,28,55,3,2023-12-07 16:01:25.477000,
33821,28,82,3,2023-12-07 16:01:25.477000,CMS Final Rule CMS-1780-F
33822,70,55,3,2024-10-09 17:58:34.553000,
