lcd_id,lcd_version,letter_id,requestor_name,letter_path,size,sort_order,last_updated
39936,14,1,American Orthotic & Prosthetic Association (AOPA),/attachments/lcd/39936_12/KO_RequestorLetter.pdf,229352,1,2025-07-18 18:00:15.630000
40025,8,1,American Academy of Ophthalmology,/attachments/lcd/40025_7/AAOASOPRSLCAReconCoverLetter6.6.23Final.V4.pdf,218652,1,2024-10-04 15:28:14.520000
40025,8,2,"Victoria S. Pelak, MD",/attachments/lcd/40025_7/FaxfromUCHealth_09.27.2024_courtney.pdf,88588,2,2024-10-04 15:28:14.523000
40141,4,1,Daniel Forche,/attachments/lcd/40141_1/LCDRequest.pdf,268818,1,2025-07-09 19:32:41.630000
40143,8,1,Daniel Forche,/attachments/lcd/40143_2/LCDRequest.pdf,266303,1,2025-07-11 15:04:29.320000
40183,9,1,Templin,/attachments/lcd/40183_2/FCSOLCDReconsiderationRequest.pdf,285833,1,2025-05-06 15:02:26.420000
40184,7,1,Craig Gonzales,/attachments/lcd/40184_5/NoridianLCDReconsiderationRequest_L38705L38707_Aug2024.pdf,152881,1,2025-05-26 03:19:30.757000
40185,7,1,Craig Gonzales,/attachments/lcd/40185_5/NoridianLCDReconsiderationRequest_L38705L38707_Aug2024.pdf,152881,1,2025-05-26 03:20:00.993000
40186,8,1,Margery A. Connelly,/attachments/lcd/40186_1/LCDRequest.pdf,228626,1,2025-08-18 19:42:53.600000
40186,8,2,Hilary Imai,/attachments/lcd/40186_1/ELFLCDApplication.pdf,197763,2,2025-08-18 19:42:53.600000
40196,4,1,Marge Connelly,/attachments/lcd/40196_2/MCLCDRequest.pdf,228626,1,2025-08-22 14:18:16.670000
40196,4,2,Hilary Imai,/attachments/lcd/40196_2/HIELFLCDApplication.pdf,197763,2,2025-08-22 14:18:16.673000
40198,5,1,Hilary Imai,/attachments/lcd/40198_2/ELFLCDApplication.pdf,197763,1,2025-08-21 18:34:05.873000
40198,5,2,Margery A. Connelly,/attachments/lcd/40198_2/LCDRequest.pdf,228626,2,2025-08-21 18:34:05.883000
40208,6,1,Barry Templin,/attachments/lcd/40208_2/PalmettoLCDL38549ReconsiderationRequest_21Jan2025.pdf,274394,1,2025-07-17 15:15:53.987000
40209,8,1,Padma Sundar,/attachments/lcd/40209_1/P.S.LCDRequest.pdf,127575,1,2025-08-18 19:54:50.793000
40209,8,2,Anjana Bhattacharya,/attachments/lcd/40209_1/A.B.LCDRequest.pdf,225857,2,2025-08-18 19:54:50.797000
40221,4,1,Padma Sundar	,/attachments/lcd/40221_2/P.S.LCDRequest.pdf,127575,1,2025-08-22 13:36:19.853000
40221,4,2,Anjana Bhattacharya	,/attachments/lcd/40221_2/A.B.LCDRequest.pdf,225857,2,2025-08-22 13:36:19.860000
40225,6,1,Hilary Imai,/attachments/lcd/40225_2/ELFLCDApplication2.pdf,197763,1,2025-08-21 18:33:31.570000
40225,6,2,Margery A. Connelly,/attachments/lcd/40225_2/LCDRequest1.pdf,228626,2,2025-08-21 18:33:31.573000
40247,8,1,"Amgen, Inc",/attachments/lcd/40247_6/EIPRequestorLetter.pdf,216864,1,2025-07-18 14:17:34.603000
40247,8,2,"AbbVie, Inc",/attachments/lcd/40247_6/EIPRequstorLetter2.pdf,185153,2,2025-07-18 14:17:34.607000
40250,2,1,Daniel Forche,/attachments/lcd/40250_1/LCDrequestorletter.pdf,268818,1,2025-07-11 19:45:36.787000
40269,12,1,Verona Pharma Inc.,/attachments/lcd/40269_2/NEB_RequestorLetter.pdf,298441,1,2025-08-22 15:23:35.193000
40270,19,1,Hollister Inc.,/attachments/lcd/40270_6/URO_RequestorLetter.pdf,283789,1,2025-08-22 13:24:09.833000
40271,3,1,Margery A. Connelly,/attachments/lcd/40271_1/LCDRequest.pdf,228626,1,2025-08-20 18:51:42.853000
40271,3,2,Hilary Imai,/attachments/lcd/40271_1/ELFLCDApplication.pdf,197763,2,2025-08-20 18:51:42.887000
40277,4,1,Padma Sundar,/attachments/lcd/40277_1/P.S.LCDRequest.pdf,127575,1,2025-09-15 16:24:50.600000
40277,4,2,Anjana Bhattacharya,/attachments/lcd/40277_1/A.B.LCDRequest.pdf,225857,2,2025-09-15 16:24:50.610000
40301,7,1,Dr. Boris Schwartzman,/attachments/lcd/40301_3/ThermalDestructionoftheIntraosseousBasivertebralNerveBVNforVertebrogenicLowerBackPain.pdf,410625,1,2026-01-08 13:45:42.863000
40377,27,1,American Urological Association,/attachments/lcd/40377_23/AmericanUrologicalAssociation.pdf,1262379,1,2026-05-08 16:25:31.193000
40377,27,2,Pacific Edge Diagnostics,/attachments/lcd/40377_23/PacificEdgeDiagnosticsUSALtd03252025.pdf,1224350,2,2026-05-08 16:25:31.197000
40377,27,3,Pacific Edge Diagnostics,/attachments/lcd/40377_24/PacificEdgeDiagnosticsUSALtd04252025.pdf,1003546,3,2026-05-08 16:25:31.200000
40377,27,4,UT Southwestern Medical Center,/attachments/lcd/40377_24/UTSouthwesternMedicalCenter.pdf,201433,4,2026-05-08 16:25:31.203000
40377,27,5,Pacific Edge Diagnostics,/attachments/lcd/40377_25/PacificEdgeDiagnostics.pdf,113701,5,2026-05-08 16:25:31.207000
