lcd_id,lcd_version,synopsis_changes_field_id,last_updated
39122,3,2,2021-09-22 16:59:29.253000
39122,3,4,2021-09-22 16:59:29.253000
40025,8,2,2024-10-17 00:00:00
40173,4,2,2025-05-06 21:56:49.050000
40174,4,2,2025-05-06 21:58:06.313000
40194,3,2,2025-05-19 19:49:47.037000
40195,3,2,2025-05-20 15:03:31.780000
40208,6,1,2025-07-17 15:15:53.960000
40208,6,2,2025-07-17 15:15:53.963000
40268,6,11,2025-09-18 15:48:43.007000
40279,6,11,2025-09-18 18:59:41.617000
40310,20,11,2026-02-13 18:42:59.300000
40314,11,11,2026-02-13 18:46:16.393000
40350,15,11,2026-03-27 15:43:05.180000
40350,15,16,2026-03-27 15:43:05.180000
40350,15,17,2026-03-27 15:43:05.183000
40351,3,11,2026-03-27 15:34:37.797000
40352,6,11,2026-03-27 13:55:56.033000
40352,6,17,2026-03-27 13:55:56.033000
40353,6,11,2026-03-27 13:29:05.943000
40353,6,16,2026-03-27 13:29:05.947000
40353,6,17,2026-03-27 13:29:05.950000
40354,4,11,2026-03-27 13:44:45.590000
40354,4,16,2026-03-27 13:44:45.593000
40354,4,17,2026-03-27 13:44:45.597000
40357,4,11,2026-03-27 13:00:59.643000
40376,6,11,2026-04-16 12:05:20.013000
40381,4,11,2026-03-27 13:41:02.717000
40381,4,16,2026-03-27 13:41:02.727000
40381,4,17,2026-03-27 13:41:02.733000
40391,25,11,2026-07-02 16:09:52.747000
40404,7,11,2026-07-02 16:10:21.387000
