lcd_id,lcd_version,url_type_id,url_id,url,url_name,sort_order,last_updated,url_description
39122,3,1,1,http://,,1,2021-09-22 16:59:29.257000,
39835,10,1,1,https://www.palmettogba.com/palmetto/jja.nsf/DID/B7ML2F1563,Open Meeting Information,1,2024-05-20 14:26:27.043000,
39835,10,1,2,https://www.palmettogba.com/palmetto/jja.nsf/DID/B7ML2F1563,CAC Meeting Information,2,2024-05-20 14:26:27.047000,
39856,3,1,1,http://,,1,2024-05-23 12:33:41.507000,
39858,4,1,1,http://,,1,2024-05-23 22:41:27.783000,
39859,4,1,1,http://,,1,2024-05-23 22:48:20.280000,
39908,2,1,1,https://med.wpsgha.com/guides-resources/view/539,https://med.wpsgha.com/guides-resources/view/539,1,2024-05-21 16:44:27.313000,WPS Open Meetings
39908,2,1,2,https://med.wpsgha.com/guides-resources/view/538,https://med.wpsgha.com/guides-resources/view/538,2,2024-05-21 16:44:27.317000,WPS CAC Meeting
39936,14,1,1,https://,,1,2025-07-18 18:00:15.623000,
40025,8,1,1,http://,,1,2024-10-04 15:28:14.513000,
40037,4,1,1,https://www.palmettogba.com/palmetto/jma.nsf/DID/B7ML378465,Open Meeting Information,1,2025-01-31 15:44:59.147000,
40057,9,1,1,https://www.palmettogba.com/palmetto/jmb.nsf/DID/B7ML3E2571,LCD Development Meetings,1,2025-07-09 18:51:35.617000,
40057,9,1,2,https://www.palmettogba.com/palmetto/moldxv2.nsf/DID/VN8Y8XLZGA,"November 16, 2022 CAC Meeting",2,2025-07-09 18:51:35.620000,
40057,9,1,3,https://www.palmettogba.com/palmetto/moldxv2.nsf/DID/FYEHMGI1LN,"November 17, 2022 CAC Meeting",3,2025-07-09 18:51:35.627000,
40059,8,1,1,https://med.noridianmedicare.com/web/jeb/policies/lcd,LCD Development Meetings,1,2025-07-11 15:13:41.787000,
40059,8,1,2,https://med.noridianmedicare.com/web/jeb/policies/lcd/cac/cac-transcript-111622,"November 16, 2022 CAC Meeting",2,2025-07-11 15:13:41.790000,
40059,8,1,3,https://med.noridianmedicare.com/web/jeb/policies/lcd/cac/cac-transcript-111722,"November 17, 2022 CAC Meeting",3,2025-07-11 15:13:41.793000,
40061,7,1,1,https://med.noridianmedicare.com/web/jfb/policies/lcd,LCD Development Meetings,1,2025-07-11 15:15:07.360000,
40061,7,1,2,https://med.noridianmedicare.com/web/jfb/policies/lcd/cac/cac-transcript-111622,"November 16, 2022 CAC Meeting",2,2025-07-11 15:15:07.363000,
40061,7,1,3,https://med.noridianmedicare.com/web/jfb/policies/lcd/cac/cac-transcript-111722,"November 17, 2022 CAC Meeting",3,2025-07-11 15:15:07.367000,
40139,7,1,1,https://,,1,2025-07-10 11:34:44.643000,
40141,4,1,1,https://www.palmettogba.com/palmetto/jmb.nsf/DID/B7ML3E2571,LCD Development  Meetings,1,2025-07-09 19:32:41.620000,
40141,4,1,2,https://www.palmettogba.com/palmetto/moldxv2.nsf/DID/Q0CZHJACIV,"July 15, 2024 CAC Meeting",2,2025-07-09 19:32:41.623000,
40143,8,1,1,https://med.noridianmedicare.com/web/jea/policies/lcd/cac,LCD Development  Meetings,1,2025-07-11 15:04:29.307000,
40143,8,1,2,https://med.noridianmedicare.com/web/jea/policies/lcd/cac/cac-transcript-071524,"July 15, 2024 CAC Meeting",2,2025-07-11 15:04:29.313000,
40167,12,1,1,http://www.ngsmedicare.com/web/ngs/lcd-open-meeting?selectedArticleId=2462862&lob=96664&state=97178&rgion=93623,National Government Services J6/JK Open Meeting,1,2025-05-09 11:28:11.403000,
40173,4,1,1,http://,,1,2025-05-06 21:56:49.057000,
40174,4,1,1,http://,,1,2025-05-06 21:58:06.320000,
40175,4,1,1,http://,,1,2025-05-08 12:24:18.340000,
40178,3,1,1,http://www.ngsmedicare.com/web/ngs/contractor-advisory-committee-cac?selectedArticleId=446297&lob=93617&state=97269&rgion=93624,Superficial Radiation Therapy (SRT) for the Treatment of Nonmelanoma Skin Cancers (NMSC),1,2025-05-09 13:51:19.867000,Teleconference Only 10.17.2024
40183,9,1,1,http://,,1,2025-05-06 15:02:26.413000,
40184,7,1,1,http://,,1,2025-05-26 03:19:30.753000,
40185,7,1,1,http://,,1,2025-05-26 03:20:00.990000,
40186,8,1,1,https://www.palmettogba.com/palmetto/jmb.nsf/DID/B7ML3E2571,LCD Development Meetings,1,2025-08-18 19:42:53.593000,
40188,6,1,1,http://www.palmettogba.com/palmetto/jma.nsf/DID/B7ML378465,Open Meeting Information,1,2025-05-08 21:09:52.443000,
40188,6,1,2,http://www.palmettogba.com/palmetto/jmb.nsf/DIDC/Y6OOOOWJKI~Medical%20Policies~LCD%20Development%20Meetings,CAC Meeting Information,2,2025-05-08 21:09:52.453000,
40192,3,1,1,https://www.ngsmedicare.com/web/ngs/contractor-advisory-committee-cac?selectedArticleId=446297&lob=93617&state=97256&rgion=93623,https://www.ngsmedicare.com/web/ngs/contractor-advisory-committee-cac?selectedArticleId=446297&lob=93617&state=97256&rgion=93623,1,2025-05-09 14:53:37.917000,Multijurisdictional Contractor Advisory Committee Meeting
40192,3,1,2,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,2,2025-05-09 14:53:37.920000,WPS Open Meetings
40192,3,1,3,https://www.wpsgha.com/guides-resources/view/538,https://www.wpsgha.com/guides-resources/view/538,3,2025-05-09 14:53:37.930000,WPS CAC Engagement Meeting
40194,3,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-05-19 19:49:47.050000,WPS Open Meetings
40194,3,1,2,https://www.wpsgha.com/guides-resources/view/538,https://www.wpsgha.com/guides-resources/view/538,2,2025-05-19 19:49:47.053000,WPS CAC Meeting
40195,3,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-05-20 15:03:31.820000,WPS Open Meetings
40195,3,1,2,https://www.wpsgha.com/guides-resources/view/538,https://www.wpsgha.com/guides-resources/view/538,2,2025-05-20 15:03:31.843000,WPS CAC Meeting
40196,4,1,1,https://med.noridianmedicare.com/web/jeb/policies/lcd,LCD Development Meetings,1,2025-08-22 14:18:16.663000,
40198,5,1,1,https://,,1,2025-08-21 18:34:05.860000,
40204,9,1,1,https://palmettogba.com/jmb/did/b7ml3e2571,Open Meeting Information,1,2025-09-19 13:51:47.817000,
40208,6,1,1,https://www.palmettogba.com/palmetto/jma.nsf/DID/B7ML378465,Open Meeting Information,1,2025-07-17 15:15:53.973000,
40209,8,1,1,https://palmettogba.com/jmb/did/b7ml3e2571,LCD Development Meetings,1,2025-08-18 19:54:50.790000,
40221,4,1,1,https://med.noridianmedicare.com/web/jea/policies/moldx/open,LCD Development Meetings,1,2025-08-22 13:36:19.850000,
40223,5,1,1,http://,,1,2025-09-18 15:24:43.577000,
40225,6,1,1,https://palmettogba.com/jmb/did/b7ml3e2571,LCD Development Meetings,1,2025-08-21 18:33:31.567000,
40227,5,1,1,https://palmettogba.com/jja/did/b7ml2f1563,Open Meeting Information,1,2025-09-19 13:54:55.113000,
40231,6,1,1,http://,,1,2025-09-18 15:29:00.623000,
40237,6,1,1,https://palmettogba.com/jmb/did/b7ml3e2571,LCD Development Meetings,1,2025-08-18 19:44:18.417000,
40241,4,1,1,https://med.noridianmedicare.com/web/jea/policies/lcd,LCD Development Meetings,1,2025-08-22 13:57:58.647000,
40243,17,1,1,http://,,1,2025-09-17 13:37:27.070000,
40245,3,1,1,https://www.palmettogba.com/palmetto/jmb.nsf/DID/B7ML3E2571,LCD Development  Meetings,1,2025-07-10 11:33:17.690000,
40245,3,1,2,https://www.palmettogba.com/palmetto/moldxv2.nsf/DID/Q0CZHJACIV,"July 15, 2024 CAC Meeting",2,2025-07-10 11:33:17.700000,
40247,8,1,1,http://,,1,2025-07-18 14:17:34.600000,
40248,2,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-07-11 18:19:08.163000,WPS Open Meetings
40250,2,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-07-11 19:45:36.783000,WPS Open Meetings
40254,6,1,1,http://,,1,2025-09-19 13:28:02.800000,
40256,6,1,1,https://palmettogba.com/jma/did/b7ml378465,Open Meeting Information,1,2025-09-19 13:57:05.463000,
40258,4,1,1,https://palmettogba.com/jmb/did/b7ml3e2571,LCD Development Meetings,1,2025-08-21 18:32:38.917000,
40260,5,1,1,http://palmettogba.com/jmb/did/dzooaomls3~medical%20policies~lcd%20development%20meetings,"Multi-Jurisdictional Peripheral Nerve Blocks Contractor Advisory Committee Meeting: February 3, 2025",1,2025-09-17 13:36:29.623000,
40262,8,1,1,https://palmettogba.com/jma/did/b7ml378465,Open Meeting,1,2025-09-19 13:55:38.417000,
40262,8,1,2,https://palmettogba.com/jma/did/dzooaomls3,Contractor Advisory Committee (CAC) Meeting,2,2025-09-19 13:55:38.420000,
40264,7,1,1,https://med.noridianmedicare.com/web/jeb/policies/lcd/cac,"Multi-Jurisdictional Peripheral Nerve Blocks Contractor Advisory Committee Meeting: February 3, 2025",1,2025-09-16 18:37:32.650000,
40266,5,1,1,https://www.ngsmedicare.com/web/ngs/contractor-advisory-committee-cac?selectedArticleId=446297&lob=96664&state=97133&rgion=93623,"Multi-Jurisdictional Peripheral Nerve Blocks Contractor Advisory Committee Meeting: February 3, 2025",1,2025-09-18 15:06:53.960000,
40268,6,1,1,http://,,1,2025-09-18 15:48:43.017000,
40269,12,1,1,https://,,1,2025-08-22 15:23:35.190000,
40270,19,1,1,http://,,1,2025-08-22 13:24:09.830000,
40271,3,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-08-20 18:51:42.823000,WPS Open Meetings
40271,3,1,2,https://www.wpsgha.com/guides-resources/view/538,https://www.wpsgha.com/guides-resources/view/538,2,2025-08-20 18:51:42.840000,WPS CAC Meeting
40273,5,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-09-15 15:15:58.777000,WPS Open Meetings
40273,5,1,2,https://www.wpsgha.com/guides-resources/view/538,https://www.wpsgha.com/guides-resources/view/538,2,2025-09-15 15:15:58.780000,WPS CAC Meeting
40275,8,1,1,http://,,1,2025-09-05 17:10:07.517000,
40277,4,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-09-15 16:24:50.577000,WPS Open Meetings
40277,4,1,2,https://www.wpsgha.com/guides-resources/view/538,https://www.wpsgha.com/guides-resources/view/538,2,2025-09-15 16:24:50.590000,WPS CAC Meeting
40279,6,1,1,http://,,1,2025-09-18 18:59:41.627000,
40288,7,1,1,http://,,1,2025-09-05 17:21:31.510000,
40299,2,1,1,https://www.wpsgha.com/guides-resources/view/539,https://www.wpsgha.com/guides-resources/view/539,1,2025-09-16 17:27:08.490000,WPS Open Meetings
40299,2,1,2,https://www.wpsgha.com/guides-resources/view/538,https://www.wpsgha.com/guides-resources/view/538,2,2025-09-16 17:27:08.500000,WPS CAC Meeting
40301,7,1,1,http://,,1,2026-01-08 13:45:42.847000,
40310,20,1,1,http://,,1,2026-02-13 18:42:59.310000,
40314,11,1,1,http://,,1,2026-02-13 18:46:16.400000,
40323,7,1,1,http://,,1,2026-01-09 13:41:37.997000,
40325,4,1,1,http://,,1,2026-01-26 17:00:40.063000,
40327,4,1,1,https://palmettogba.com/jjb/did/b7ml2u1021,Open Meeting Information,1,2026-01-09 14:57:58.810000,
40329,5,1,1,http://,,1,2026-01-08 15:35:24.937000,
40331,7,1,1,http://,,1,2026-01-16 23:46:36.843000,
40333,7,1,1,http://,,1,2026-01-08 19:46:08.897000,
40340,3,1,1,http://https://med.wpsgha.com/guides-resources/view/539,WPS Open Meeting,1,2026-01-22 17:43:46.610000,
40342,2,1,1,https://med.wpsgha.com/guides-resources/view/539,WPS Open Meetings,1,2026-01-22 19:15:31.267000,WPS Open Meetings
40342,2,1,2,https://med.wpsgha.com/guides-resources/view/538,WPS CAC Meeting,2,2026-01-22 19:15:31.270000,WPS CAC Meeting
40344,12,1,1,http://,,1,2026-02-13 15:44:42.367000,
40345,10,1,1,http://,,1,2026-02-13 15:47:51.597000,
40350,15,1,1,http://,,1,2026-03-27 15:43:05.193000,
40351,3,1,1,http://,,1,2026-03-27 15:34:37.807000,
40352,6,1,1,https://palmettogba.com/jja/did/au2lpk8132?cat=jja-medical-policies,Open Meeting Information,1,2026-03-27 13:55:56.047000,
40353,6,1,1,http://,,1,2026-03-27 13:29:05.960000,
40354,4,1,1,http://,,1,2026-03-27 13:44:45.607000,
40355,8,1,1,http://,,1,2026-05-14 15:29:15.080000,
40357,4,1,1,http://,,1,2026-03-27 13:00:59.663000,
40358,4,1,1,http://,,1,2026-05-11 15:24:48.747000,
40362,4,1,1,http://,,1,2026-05-14 12:33:03.333000,
40366,3,1,1,https://palmettogba.com/jmb/did/b7ml3e2571?cat=jmb-medical-policies,Open Meeting,1,2026-05-14 14:31:17.220000,"Jurisdictions J and M Open Meeting: June 22, 2026"
40376,6,1,1,http://,,1,2026-04-16 12:05:20.023000,
40377,27,1,1,http://,,1,2026-05-08 16:25:31.190000,
40379,8,1,1,http://,,1,2026-05-08 16:28:39.793000,
40381,4,1,1,http://med.wpsgha.com/guides-resources/view/539,WPS Open Meetings ,1,2026-03-27 13:41:02.763000,
40381,4,1,2,http://med.wpsgha.com/guides-resources/view/538,WPS CAC Meeting ,2,2026-03-27 13:41:02.780000,
40384,5,1,1,http://med.wpsgha.com/guides-resources/view/539,WPS Open Meetings,1,2026-05-14 19:57:37.990000,
40384,5,1,2,http://med.wpsgha.com/guides-resources/view/538,WPS CAC Meeting,2,2026-05-14 19:57:37.993000,
40386,6,1,1,http://,,1,2026-05-12 00:01:24.040000,
40391,25,1,1,http://,,1,2026-07-02 16:09:52.757000,
40402,7,1,1,http://,,1,2026-07-16 20:19:11.103000,
40403,11,1,1,http://,,1,2026-07-16 20:38:16.673000,
40404,7,1,1,http://,,1,2026-07-02 16:10:21.447000,
