reason_change_id,reason_change_version,description,last_updated,sort_order,for_draft
1,1,CMS Requirement,2007-06-27 00:00:00,1,
1,2,Provider Education/Guidance,2012-11-01 00:00:00,1,Y
2,1,Coverage Change (actual change in medical parameters),2007-06-27 00:00:00,2,
2,2,New/Updated Technology,2012-11-01 00:00:00,2,Y
3,1,Field Value Change,2007-06-27 00:00:00,3,
3,2,Aberrant Local Utilization,2012-11-01 00:00:00,3,Y
4,1,HCPCS Addition/Deletion,2007-06-27 00:00:00,4,
5,1,HCPCS/ICD9 Descriptor Change,2007-06-27 00:00:00,5,
5,2,Risk Identified by the Office of Inspector General (OIG),2012-11-01 00:00:00,5,Y
6,1,ICD9 Addition/Deletion,2007-06-27 00:00:00,6,
6,2,Risk Identified by the General Accounting Office (GAO),2012-11-01 00:00:00,6,Y
7,1,"Maintenance (annual review with new changes, formatting, etc)",2007-06-27 00:00:00,7,
7,2,Risk Identified by a Comprehensive Error Rate Testing (CERT) Contractor,2012-11-01 00:00:00,7,Y
8,1,Narrative Change,2007-06-27 00:00:00,8,
8,2,Risk Identified by a Recovery Auditor,2012-11-01 00:00:00,8,Y
9,1,Typographical Correction,2007-06-27 00:00:00,9,
9,2,Risk Identified by a Zone Program Integrity Contractor (ZPIC),2012-11-01 00:00:00,9,Y
10,1,Other,2007-06-27 00:00:00,10,
10,2,NCD Supplementation,2012-11-01 00:00:00,10,Y
12,2,Request for Coverage by a Beneficiary,2012-11-01 00:00:00,12,Y
13,2,Request for Coverage by a Supplier,2012-11-01 00:00:00,13,Y
14,2,Request for Coverage by a Practitioner (Part B),2012-11-01 00:00:00,14,Y
15,2,Request for Coverage by a Provider (Part A),2012-11-01 00:00:00,15,Y
17,2,Creation of Uniform LCDs Within a MAC Jurisdiction,2012-11-01 00:00:00,17,Y
18,2,Creation of Uniform LCDs With Other MAC Jurisdiction,2012-11-01 00:00:00,18,Y
19,2,Automated Edits to Enforce Reasonable &amp; Necessary Requirements,2012-11-01 00:00:00,19,Y
20,2,Other,2012-11-01 00:00:00,99,Y
21,2,Provider Education/Guidance,2012-11-01 00:00:00,1,N
22,2,New/Updated Technology,2012-11-01 00:00:00,2,N
23,2,Public Education/Guidance,2012-11-01 00:00:00,3,N
24,2,Aberrant Local Utilization,2012-11-01 00:00:00,4,N
26,2,Risk Identified by the Office of Inspector General (OIG),2012-11-01 00:00:00,6,N
27,2,Risk Identified by the General Accounting Office (GAO),2012-11-01 00:00:00,7,N
28,2,Risk Identified by a Comprehensive Error Rate Testing (CERT) Contractor,2012-11-01 00:00:00,8,N
29,2,Risk Identified by a Recovery Auditor,2012-11-01 00:00:00,9,N
30,2,Risk Identified by a Zone Program Integrity Contractor (ZPIC),2012-11-01 00:00:00,10,N
31,2,NCD Supplementation,2012-11-01 00:00:00,11,N
33,2,Request for Coverage by a Beneficiary,2012-11-01 00:00:00,13,N
34,2,Request for Coverage by a Supplier,2012-11-01 00:00:00,14,N
35,2,Request for Coverage by a Practitioner (Part B),2012-11-01 00:00:00,15,N
